Source_Company,Source_Product_Line,Source_Paint_Name,Source_Paint_ID,Equivalent_Company,Equivalent_Product_Line,Equivalent_Paint_Name,Equivalent_Paint_ID,Match_Type,Similarity_Percent,Confidence,Source,Notes,Hex
Games Workshop,Citadel,Citadel,,Vallejo,Game Color,Skull White,,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFFFFF
Games Workshop,Citadel,Blood Red,,Vallejo,Model Color,Vermillion,909,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,CE0018
Games Workshop,Citadel,Blood Red,,Rackham,,Clear Red,9094,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,CE0018
Games Workshop,Citadel,Blood Red,,Reaper,Master Series,Blood Red,104,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,CE0018
Games Workshop,Citadel,Red Gore,,Vallejo,Game Color,Gory Red,011,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,940008
Games Workshop,Citadel,Red Gore,,Vallejo,Model Color,Cavalry Brown,982,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,940008
Games Workshop,Citadel,Red Gore,,Rackham,,Natural Leather,34,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,940008
Games Workshop,Citadel,Red Gore,,Reaper,Master Series,Carnage Red,9135,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,940008
Games Workshop,Citadel,Red Gore,,Coat D'arms,,Vampire Red,129,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,940008
Games Workshop,Citadel,Scab Red,,Vallejo,Game Color,Scarlett Red,012,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,990033
Games Workshop,Citadel,Scab Red,,Vallejo,Model Color,Carmine Red,908,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,990033
Games Workshop,Citadel,Scab Red,,Rackham,,Arcavia Red,35,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,990033
Games Workshop,Citadel,Scab Red,,Reaper,Master Series,Deep Red,9002,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,990033
Games Workshop,Citadel,Terracotta*,,Vallejo,Game Color,Terracotta,065,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,793721
Games Workshop,Citadel,Terracotta*,,Vallejo,Model Color,Clotted Red,9134,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,793721
Games Workshop,Citadel,Tentacle Pink*,,Vallejo,Game Color,Squid Pink,013,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,EF9CB5
Games Workshop,Citadel,Tentacle Pink*,,Vallejo,Model Color,Pink,958,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,EF9CB5
Games Workshop,Citadel,Tentacle Pink*,,Rackham,,Friend Flesh,33,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,EF9CB5
Games Workshop,Citadel,Tentacle Pink*,,Reaper,Master Series,Pale Violet **,9027,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,EF9CB5
Games Workshop,Citadel,Tentacle Pink*,,Coat D'arms,,Shocking Pink,144,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,EF9CB5
Games Workshop,Citadel,Warlock Purple,,Vallejo,Game Color,Warlord Purple,014,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,9C004A
Games Workshop,Citadel,Warlock Purple,,Vallejo,Model Color,Magenta,945,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,9C004A
Games Workshop,Citadel,Warlock Purple,,Rackham,,Celestial Pink,46,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,9C004A
Games Workshop,Citadel,Warlock Purple,,Reaper,Master Series,Pale Violet Red,9027,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,9C004A
Games Workshop,Citadel,Warlock Purple,,Coat D'arms,,Warlock Purple,157,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,9C004A
Games Workshop,Citadel,Liche Purple,,Vallejo,Game Color,Royal Purple,810,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,5A005A
Games Workshop,Citadel,Liche Purple,,Vallejo,Model Color,Divine Purple,6,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,5A005A
Games Workshop,Citadel,Liche Purple,,Rackham,,Clear Plum,9132,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,5A005A
Games Workshop,Citadel,Liche Purple,,Reaper,Master Series,Poison Purple,118,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,5A005A
Games Workshop,Citadel,Imperial Purple*,,Vallejo,Game Color,Royal Purple,016,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,562F7E
Games Workshop,Citadel,Imperial Purple*,,Vallejo,Model Color,Royal Purple,810,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,562F7E
Games Workshop,Citadel,Imperial Purple*,,Rackham,,Deep Amethyst,9079,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,562F7E
Games Workshop,Citadel,Imperial Purple*,,Reaper,Master Series,Amethest Purple,160,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,562F7E
Games Workshop,Citadel,Nauseating Blue *,,Vallejo,Game Color,Sick Blue,017,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,412A7A
Games Workshop,Citadel,Nauseating Blue *,,Vallejo,Model Color,Violet **,960,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,412A7A
Games Workshop,Citadel,Nauseating Blue *,,Rackham,,Clear Purple,9099,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,412A7A
Games Workshop,Citadel,Nauseating Blue *,,Reaper,Master Series,Nauseous Blue,162,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,412A7A
Games Workshop,Citadel,Storm Blue *,,Vallejo,Game Color,Stormy Blue,018,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,27357E
Games Workshop,Citadel,Storm Blue *,,Vallejo,Model Color,Blue,925,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,27357E
Games Workshop,Citadel,Storm Blue *,,Rackham,,Migol Blue,5,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,27357E
Games Workshop,Citadel,Storm Blue *,,Reaper,Master Series,Ritterlich Blue **,9115,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,27357E
Games Workshop,Citadel,Midnight Blue*,,Vallejo,Game Color,Night Blue,019,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,000031
Games Workshop,Citadel,Midnight Blue*,,Vallejo,Model Color,Dark Prussian Blue,899,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,000031
Games Workshop,Citadel,Midnight Blue*,,Rackham,,Abyssal Blue,3,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,000031
Games Workshop,Citadel,Midnight Blue*,,Reaper,Master Series,Ultramarine Shadow,9187,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,000031
Games Workshop,Citadel,Regal Blue,,Vallejo,Game Color,Imperial Blue,020,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,08085A
Games Workshop,Citadel,Regal Blue,,Vallejo,Model Color,Royal Blue,809,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,08085A
Games Workshop,Citadel,Regal Blue,,Rackham,,Brilliant Blue,9116,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,08085A
Games Workshop,Citadel,Regal Blue,,Reaper,Master Series,Royal Blue,110,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,08085A
Games Workshop,Citadel,Enchanted Blue,,Vallejo,Game Color,Magic Blue,021,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,31639C
Games Workshop,Citadel,Enchanted Blue,,Vallejo,Model Color,Dark Blue,930,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,31639C
Games Workshop,Citadel,Enchanted Blue,,Rackham,,Ephren Blue,4,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,31639C
Games Workshop,Citadel,Enchanted Blue,,Reaper,Master Series,Cyan Blue **,9117,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,31639C
Games Workshop,Citadel,Enchanted Blue,,Coat D'arms,,Wizard Blue,114,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,31639C
Games Workshop,Citadel,Ultramarine Blue,,Vallejo,Game Color,Ultra Marine Blue,022,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,29397B
Games Workshop,Citadel,Ultramarine Blue,,Vallejo,Model Color,Ultramarine,839,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,29397B
Games Workshop,Citadel,Ultramarine Blue,,Rackham,,Wizard Blue **,7,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,29397B
Games Workshop,Citadel,Ultramarine Blue,,Reaper,Master Series,Ultramarine Highlight **,9189,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,29397B
Games Workshop,Citadel,Ultramarine Blue,,Coat D'arms,,Marine Blue,148,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,29397B
Games Workshop,Citadel,Ice Blue,,Vallejo,Game Color,Ice Blue,095,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,6B9CCE
Games Workshop,Citadel,Ice Blue,,Vallejo,Model Color,Azure **,902,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,6B9CCE
Games Workshop,Citadel,Ice Blue,,Rackham,,Glacier Blue,9,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,6B9CCE
Games Workshop,Citadel,Lightning Bolt Blue *,,Vallejo,Game Color,Electric Blue,023,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,8BB9DD
Games Workshop,Citadel,Lightning Bolt Blue *,,Vallejo,Model Color,Sky Blue,961,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,8BB9DD
Games Workshop,Citadel,Lightning Bolt Blue *,,Rackham,,Sacred Blue **,8,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,8BB9DD
Games Workshop,Citadel,Lightning Bolt Blue *,,Reaper,Master Series,Sky Blue **,9018,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,8BB9DD
Games Workshop,Citadel,Lightning Bolt Blue *,,Coat D'arms,,High Elf Blue,117,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,8BB9DD
Games Workshop,Citadel,Hawk Turquoise,,Vallejo,Game Color,Falcon Turquoise,024,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,006B5A
Games Workshop,Citadel,Hawk Turquoise,,Vallejo,Model Color,Light Turquoise,840,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,006B5A
Games Workshop,Citadel,Hawk Turquoise,,Rackham,,Precious Blue,12,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,006B5A
Games Workshop,Citadel,Hawk Turquoise,,Reaper,Master Series,Marine Teal,9077,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,006B5A
Games Workshop,Citadel,Hawk Turquoise,,Coat D'arms,,Aquamarine,132,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,006B5A
Games Workshop,Citadel,Vile Green *,,Vallejo,Game Color,Foul Green,025,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,82C59C
Games Workshop,Citadel,Vile Green *,,Vallejo,Model Color,Park Green Flat,969,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,82C59C
Games Workshop,Citadel,Vile Green *,,Rackham,,Antique Green,13,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,82C59C
Games Workshop,Citadel,Jade Green*,,Vallejo,Game Color,Jade Green,026,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,069B7D
Games Workshop,Citadel,Jade Green*,,Vallejo,Model Color,Light Turquoise,840,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,069B7D
Games Workshop,Citadel,Jade Green*,,Rackham,,Reptilian Greens Triad **,9184/9185/9186,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,069B7D
Games Workshop,Citadel,Jade Green*,,Reaper,Master Series,Jade Green**,158,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,069B7D
Games Workshop,Citadel,Scaly Green *,,Vallejo,Game Color,Scurf Green,027,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,026B67
Games Workshop,Citadel,Scaly Green *,,Vallejo,Model Color,Emerald,838,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,026B67
Games Workshop,Citadel,Scaly Green *,,Rackham,,Chitin Green,19,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,026B67
