Cluster_Key,Company,Paint_Name,Cluster_Status,Cluster_Size,Rows_With_Color,Rows_Missing_Color,Product_Lines,Paint_Types,Paint_IDs,Missing_Paint_IDs,Example_Hex,Example_RGB,Example_Source_Paint_ID,Recommended_Action
ak interactive|greenskin punch,AK Interactive,Greenskin Punch,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GREENSKIN_PUNCH,,#00FF00,0:255:0,AK_3GEN_GREENSKIN_PUNCH,No action needed.
ak interactive|grey blue,AK Interactive,Grey-Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GREY_BLUE,,#5F6772,95:103:114,AK_3GEN_GREY_BLUE,No action needed.
ak interactive|grey brown,AK Interactive,Grey-Brown,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GREY_BROWN,,#705B3C,112:91:60,AK_3GEN_GREY_BROWN,No action needed.
ak interactive|grey green,AK Interactive,Grey-Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GREY_GREEN,,#818166,129:129:102,AK_3GEN_GREY_GREEN,No action needed.
ak interactive|grim brown,AK Interactive,Grim Brown,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GRIM_BROWN,,#1E160E,30:22:14,AK_3GEN_GRIM_BROWN,No action needed.
ak interactive|grimy grey,AK Interactive,Grimy Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GRIMY_GREY,,#DFC898,223:200:152,AK_3GEN_GRIMY_GREY,No action needed.
ak interactive|gun metal,AK Interactive,Gun Metal,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GUN_METAL,,#4C4C49,76:76:73,AK_3GEN_GUN_METAL,No action needed.
ak interactive|gunship green,AK Interactive,Gunship Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GUNSHIP_GREEN,,#475435,71:84:53,AK_3GEN_GUNSHIP_GREEN,No action needed.
ak interactive|hull red,AK Interactive,Hull Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_HULL_RED,,#351C10,53:28:16,AK_3GEN_HULL_RED,No action needed.
ak interactive|ice yellow,AK Interactive,Ice Yellow,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_ICE_YELLOW,,#FFF08E,255:240:142,AK_3GEN_ICE_YELLOW,No action needed.
ak interactive|imperial blue,AK Interactive,Imperial Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_IMPERIAL_BLUE,,#22274F,34:39:79,AK_3GEN_IMPERIAL_BLUE,No action needed.
ak interactive|intense pink,AK Interactive,Intense Pink,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_INTENSE_PINK,,#EB748F,235:116:143,AK_3GEN_INTENSE_PINK,No action needed.
ak interactive|interior yellow green,AK Interactive,Interior Yellow Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_INTERIOR_YELLOW_GREEN,,#ACA317,172:163:23,AK_3GEN_INTERIOR_YELLOW_GREEN,No action needed.
ak interactive|intermediate blue,AK Interactive,Intermediate Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_INTERMEDIATE_BLUE,,#676A67,103:106:103,AK_3GEN_INTERMEDIATE_BLUE,No action needed.
ak interactive|intermediate green,AK Interactive,Intermediate Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_INTERMEDIATE_GREEN,,#506F32,80:111:50,AK_3GEN_INTERMEDIATE_GREEN,No action needed.
ak interactive|ivory,AK Interactive,Ivory,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_IVORY,,#F3EDC6,243:237:198,AK_3GEN_IVORY,No action needed.
ak interactive|japanese brown,AK Interactive,Japanese Brown,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_JAPANESE_BROWN,,#956E1D,149:110:29,AK_3GEN_JAPANESE_BROWN,No action needed.
ak interactive|king purple,AK Interactive,King Purple,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_KING_PURPLE,,#551A8B,85:26:139,AK_3GEN_KING_PURPLE,No action needed.
ak interactive|laser magenta,AK Interactive,Laser Magenta,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_LASER_MAGENTA,,#6B102E,107:16:46,AK_3GEN_LASER_MAGENTA,No action needed.
