Air_Paint,Main_Paint,Status,Air_Paint_ID,Matched_Main_Paint_ID,Matched_Main_Product_Line,Inherited_Hex,Inherited_RGB
Kobold Skin,Urban Buff,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_KOBOLD_SKIN,,,,
Gnome Cheeks,Command Khaki,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_GNOME_CHEEKS,,,,
Leather Brown,Leather Brown,AIR_ALREADY_HAS_COLOR,AP_AIR_LEATHER_BROWN,AP_FANATIC_LEATHER_BROWN,Fanatic,#764823,"118,72,35"
Mongolia Brown,Brigandine Brown,AIR_NOT_FOUND,,,,,
Yellow Dune,Wasteland Clay,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_YELLOW_DUNE,,,,
Desert Yellow,Desert Yellow,AIR_ALREADY_HAS_COLOR,AP_AIR_DESERT_YELLOW,AP_FANATIC_DESERT_YELLOW,Fanatic,#9C8855,"156,136,85"
Baron Yellow,Prairie Ochre,AIR_NOT_FOUND,,,,,
Skeleton Bone,Skeleton Bone,AIR_ALREADY_HAS_COLOR,AP_AIR_SKELETON_BONE,AP_FANATIC_SKELETON_BONE,Fanatic,#D3C89D,"211,200,157"
Bleached Bone,Bony Spikes,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_BLEACHED_BONE,,,,
Hobgoblin Hue,Pale Sand,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_HOBGOBLIN_HUE,,,,
Cosmic Dust,Ice Yellow,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_COSMIC_DUST,,,,
Moon Dust,Space Dust,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_MOON_DUST,,,,
Meteor Rock,Warped Yellow,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_METEOR_ROCK,,,,
Demonic Yellow,Demonic Yellow,AIR_NOT_FOUND,,,,,
Molten Orange,Molten Lava,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_MOLTEN_ORANGE,,,,
Archangel Red,Burning Ore,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_ARCHANGEL_RED,,,,
Lava Orange,Lava Orange,AIR_ALREADY_HAS_COLOR,AP_AIR_LAVA_ORANGE,AP_FANATIC_LAVA_ORANGE,Fanatic,#E65525,"230,85,37"
Orange Magma,Flickering Flame,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_ORANGE_MAGMA,,,,
Incursion Orange,Glowing Inferno,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_INCURSION_ORANGE,,,,
Nomad Flesh,Violent Vermilion,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_NOMAD_FLESH,,,,
Oak Brown,Oak Brown,AIR_ALREADY_HAS_COLOR,AP_AIR_OAK_BROWN,AP_FANATIC_OAK_BROWN,Fanatic,#432010,"67,32,16"
Cypress Brown,Dryad Brown,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_CYPRESS_BROWN,,,,
Fur Brown,Fur Brown,AIR_ALREADY_HAS_COLOR,AP_AIR_FUR_BROWN,AP_FANATIC_FUR_BROWN,Fanatic,#A14322,"161,67,34"
Viper Brown,Ruddy Umber,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_VIPER_BROWN,,,,
Wyrmling Red,Raging Rose,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_WYRMLING_RED,,,,
Pure Red,Pure Red,AIR_ALREADY_HAS_COLOR,AP_AIR_PURE_RED,AP_FANATIC_PURE_RED,Fanatic,#CF2127,"207,33,39"
Dragon Red,Dragon Red,AIR_ALREADY_HAS_COLOR,AP_AIR_DRAGON_RED,AP_FANATIC_DRAGON_RED,Fanatic,#9A1B1E,"154,27,30"
Rebel Red,Wyvern Fury,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_REBEL_RED,,,,
Chimera Red,Basilisk Red,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_CHIMERA_RED,,,,
Warlock Purple,Wicked Pink,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_WARLOCK_PURPLE,,,,
Pixie Pink,Pixie Pink,AIR_ALREADY_HAS_COLOR,AP_AIR_PIXIE_PINK,AP_FANATIC_PIXIE_PINK,Fanatic,#D47A83,"212,122,131"
Fey Pink,Weird Elixir,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_FEY_PINK,,,,
Gallium Purple,Alien Purple,AIR_NOT_FOUND,,,,,
Broodmother Purple,Terrestrial Titan,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_BROODMOTHER_PURPLE,,,,
Witchbane Plum,Spellbound Fuchsia,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_WITCHBANE_PLUM,,,,
Coven Purple,Figgy Pink,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_COVEN_PURPLE,,,,
Fairy Pink,Elder Flower,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_FAIRY_PINK,,,,
Barbarian Flesh,Barbarian Flesh,AIR_ALREADY_HAS_COLOR,AP_AIR_BARBARIAN_FLESH,AP_FANATIC_BARBARIAN_FLESH,Fanatic,#E89C6C,"232,156,108"
Chaotic Red,Carnelian Skin,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_CHAOTIC_RED,,,,
Husk Brown,Tiger Eye Skin,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_HUSK_BROWN,,,,
Charred Bone,Amber Skin,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_CHARRED_BONE,,,,
Rough Iron,Rough Iron,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_ROUGH_IRON,,,,
Evil Chrome,Evil Chrome,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_EVIL_CHROME,,,,
True Copper,True Copper,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_TRUE_COPPER,,,,
Gemstone,Gemstone Red,AIR_NOT_FOUND,,,,,
Bright Gold,Bright Gold,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_BRIGHT_GOLD,,,,
Greedy Gold,Greedy Gold,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_GREEDY_GOLD,,,,
Tainted Gold,Tainted Gold,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_TAINTED_GOLD,,,,
Glitter Green,Glittering Green,AIR_NOT_FOUND,,,,,
Gunmetal,Gunmetal,AIR_NOT_FOUND,,,,,
Plate Mail Metal,Plate Mail Metal,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_PLATE_MAIL_METAL,,,,
