Paint_ID,Company,Brand,Product_Line,Paint_Type,Paint_Name,Hex,RGB,Status,Source,Notes,Likely_Reason
AP_SPEEDPAINT_AZTEC_GOLD,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Aztec Gold,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
AP_SPEEDPAINT_PASTEL_LAVENDER,Army Painter,Speedpaint,Speedpaint,Speedpaint,Pastel Lavender,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Speedpaint / comparison data missing or unresolved
AP_SPEEDPAINT_PLASMATIC_BOLT,Army Painter,Speedpaint,Speedpaint,Speedpaint,Plasmatic Bolt,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Speedpaint / comparison data missing or unresolved
AP_SPEEDPAINT_POLISHED_SILVER,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Polished Silver,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
AP_SPEEDPAINT_PURPLE_SWARM,Army Painter,Speedpaint,Speedpaint,Speedpaint,Purple Swarm,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Speedpaint / comparison data missing or unresolved
AP_SPEEDPAINT_SPEEDPAINT_MEDIUM,Army Painter,Speedpaint,Speedpaint,Speedpaint,Speedpaint Medium,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Medium / no pigment or special additive
AP_SPEEDPAINT_TALOS_BRONZE,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Talos Bronze,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
AP_AIR_AIRBRUSH_CLEANER,Army Painter,Warpaints Air,Air,Auxiliary,Airbrush Cleaner,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_AIRBRUSH_MEDIUM,Army Painter,Warpaints Air,Air,Auxiliary,Airbrush Medium,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Medium / no pigment or special additive
AP_AIR_ARCHANGEL_RED,Army Painter,Warpaints Air,Air,Air,Archangel Red,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_AZURE_MAGIC,Army Painter,Warpaints Air,Air,Air Metallic/Effect,Azure Magic,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_BARREN_YELLOW,Army Painter,Warpaints Air,Air,Air,Barren Yellow,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_BLUE_FLUX,Army Painter,Warpaints Air,Air,Air,Blue Flux,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_BOGEY_GREEN,Army Painter,Warpaints Air,Air,Air,Bogey Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_BRETHIL_BLUSH,Army Painter,Warpaints Air,Air,Air,Brethil Blush,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_BROODMOTHER_PURPLE,Army Painter,Warpaints Air,Air,Air,Broodmother Purple,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_BULLWHACK_BROWN,Army Painter,Warpaints Air,Air,Air,Bullwhack Brown,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_CADRE_GREY,Army Painter,Warpaints Air,Air,Air,Cadre Grey,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_CANOPY_GREEN,Army Painter,Warpaints Air,Air,Air,Canopy Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_CHARRED_BONE,Army Painter,Warpaints Air,Air,Air,Charred Bone,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_CHIMERA_RED,Army Painter,Warpaints Air,Air,Air,Chimera Red,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_CONSUL_BLUE,Army Painter,Warpaints Air,Air,Air,Consul Blue,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_COSMIC_DUST,Army Painter,Warpaints Air,Air,Air Metallic/Effect,Cosmic Dust,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_COVEN_PURPLE,Army Painter,Warpaints Air,Air,Air,Coven Purple,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_CROW_HUE,Army Painter,Warpaints Air,Air,Air,Crow Hue,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_CYPRESS_BROWN,Army Painter,Warpaints Air,Air,Air,Cypress Brown,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_DRAB_GREEN,Army Painter,Warpaints Air,Air,Air,Drab Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_ELVEN_ARMOUR,Army Painter,Warpaints Air,Air,Air Metallic/Effect,Elven Armour,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_ENCARMINE_RED,Army Painter,Warpaints Air,Air,Air,Encarmine Red,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_EXILE_GREEN,Army Painter,Warpaints Air,Air,Air,Exile Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_FAIRY_DUST,Army Painter,Warpaints Air,Air,Air Metallic/Effect,Fairy Dust,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_FAIRY_PINK,Army Painter,Warpaints Air,Air,Air,Fairy Pink,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_FERAL_GREEN,Army Painter,Warpaints Air,Air,Air,Feral Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_FEY_PINK,Army Painter,Warpaints Air,Air,Air,Fey Pink,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_FEYWILD_GLOW,Army Painter,Warpaints Air,Air,Air,Feywild Glow,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_GAUSS_GREEN,Army Painter,Warpaints Air,Air,Air,Gauss Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_GEMSTONE_RED,Army Painter,Warpaints Air,Air,Air Metallic/Effect,Gemstone Red,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_GLITTERING_GREEN,Army Painter,Warpaints Air,Air,Air Metallic/Effect,Glittering Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_GLOSS_VARNISH,Army Painter,Warpaints Air,Air,Auxiliary,Gloss Varnish,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Varnish / no normal color value
AP_AIR_GNOME_CHEEKS,Army Painter,Warpaints Air,Air,Air,Gnome Cheeks,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_GREMLIN_GREEN,Army Painter,Warpaints Air,Air,Air,Gremlin Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_HAZARDOUS_SMOG,Army Painter,Warpaints Air,Air,Air,Hazardous Smog,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_HOBGOBLIN_HUE,Army Painter,Warpaints Air,Air,Air,Hobgoblin Hue,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_HOT_PINK,Army Painter,Warpaints Air,Air,Air,Hot Pink,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_HUSK_BROWN,Army Painter,Warpaints Air,Air,Air,Husk Brown,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_IMP_YELLOW,Army Painter,Warpaints Air,Air,Air,Imp Yellow,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_INCURSION_ORANGE,Army Painter,Warpaints Air,Air,Air,Incursion Orange,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_IONIC_BLUE,Army Painter,Warpaints Air,Air,Air,Ionic Blue,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_IRON_WOLF,Army Painter,Warpaints Air,Air,Air Metallic/Effect,Iron Wolf,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_LEVIATHAN_LIGHT,Army Painter,Warpaints Air,Air,Air,Leviathan Light,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_MAGNOLIA_BROWN,Army Painter,Warpaints Air,Air,Air,Magnolia Brown,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_MAJESTIC_FORTRESS,Army Painter,Warpaints Air,Air,Air,Majestic Fortress,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_MATT_BLACK_PRIMER,Army Painter,Warpaints Air,Air,Primer,Matt Black Primer,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Primer / may need separate source
AP_AIR_MATT_GREY_PRIMER,Army Painter,Warpaints Air,Air,Primer,Matt Grey Primer,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Primer / may need separate source
AP_AIR_MATT_VARNISH,Army Painter,Warpaints Air,Air,Auxiliary,Matt Varnish,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Varnish / no normal color value
AP_AIR_MATT_WHITE_PRIMER,Army Painter,Warpaints Air,Air,Primer,Matt White Primer,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Primer / may need separate source
AP_AIR_METEOR_ROCK,Army Painter,Warpaints Air,Air,Air,Meteor Rock,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_MILITIA_GREEN,Army Painter,Warpaints Air,Air,Air,Militia Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_MOLTEN_ORANGE,Army Painter,Warpaints Air,Air,Air,Molten Orange,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_NEON_YELLOW,Army Painter,Warpaints Air,Air,Air,Neon Yellow,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_NIGHT_SCALES,Army Painter,Warpaints Air,Air,Air,Night Scales,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_NOMAD_FLESH,Army Painter,Warpaints Air,Air,Air,Nomad Flesh,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_OCEAN_DEPTHS,Army Painter,Warpaints Air,Air,Air,Ocean Depths,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_ORANGE_MAGMA,Army Painter,Warpaints Air,Air,Air,Orange Magma,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_PESTILENT_FLESH,Army Painter,Warpaints Air,Air,Air,Pestilent Flesh,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_PHANTASMAL_BLUE,Army Painter,Warpaints Air,Air,Air,Phantasmal Blue,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_PLATE_MAIL_METAL,Army Painter,Warpaints Air,Air,Air Metallic/Effect,Plate Mail Metal,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_POTION_GREEN,Army Painter,Warpaints Air,Air,Air,Potion Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_PSYCHIC_SHOCK,Army Painter,Warpaints Air,Air,Air,Psychic Shock,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_RAVEN_BLACK,Army Painter,Warpaints Air,Air,Air,Raven Black,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_RAWHIDE_BROWN,Army Painter,Warpaints Air,Air,Air,Rawhide Brown,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_REBEL_RED,Army Painter,Warpaints Air,Air,Air,Rebel Red,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_REGIMENT_GREY,Army Painter,Warpaints Air,Air,Air,Regiment Grey,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_ROUGH_IRON,Army Painter,Warpaints Air,Air,Air Metallic/Effect,Rough Iron,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_RUINOUS_SPELL,Army Painter,Warpaints Air,Air,Air,Ruinous Spell,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_SAFETY_ORANGE,Army Painter,Warpaints Air,Air,Air,Safety Orange,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_SAPPHIRE_GEM,Army Painter,Warpaints Air,Air,Air,Sapphire Gem,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_SATIN_VARNISH,Army Painter,Warpaints Air,Air,Auxiliary,Satin Varnish,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Varnish / no normal color value
AP_AIR_SAVAGE_GREEN,Army Painter,Warpaints Air,Air,Air,Savage Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_SHARK_WHITE,Army Painter,Warpaints Air,Air,Air,Shark White,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_STORM_WOLF,Army Painter,Warpaints Air,Air,Air,Storm Wolf,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_TAINTED_GOLD,Army Painter,Warpaints Air,Air,Air Metallic/Effect,Tainted Gold,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_TALISMAN_PURPLE,Army Painter,Warpaints Air,Air,Air,Talisman Purple,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_THUNDER_STORM,Army Painter,Warpaints Air,Air,Air,Thunder Storm,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_TRAITOR_RED,Army Painter,Warpaints Air,Air,Air,Traitor Red,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_TRUE_COPPER,Army Painter,Warpaints Air,Air,Air Metallic/Effect,True Copper,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Metallic / RGB less reliable
AP_AIR_TWILIGHT_SKY,Army Painter,Warpaints Air,Air,Air,Twilight Sky,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_UNDERGROWTH_GREEN,Army Painter,Warpaints Air,Air,Air,Undergrowth Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_UNFORGIVEN_GREEN,Army Painter,Warpaints Air,Air,Air,Unforgiven Green,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_VIOLET_VOLT,Army Painter,Warpaints Air,Air,Air,Violet Volt,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_VIPER_BROWN,Army Painter,Warpaints Air,Air,Air,Viper Brown,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_WILDLING_FLESH,Army Painter,Warpaints Air,Air,Air,Wildling Flesh,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_WITCHBANE_PLUM,Army Painter,Warpaints Air,Air,Air,Witchbane Plum,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_WYRMLING_RED,Army Painter,Warpaints Air,Air,Air,Wyrmling Red,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_YELLOW_DUNE,Army Painter,Warpaints Air,Air,Air,Yellow Dune,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_YETI_WHITE,Army Painter,Warpaints Air,Air,Air,Yeti White,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_AIR_ZEPHYR_PINK,Army Painter,Warpaints Air,Air,Air,Zephyr Pink,,,Active/Unknown,All_Warpaints_Air.pdf,Official Warpaints Air poster; Hex/RGB filled only if already available from supplied swatch data,Air paint / needs Air equivalent source
AP_FANATIC_AEGIS_AQUA,Army Painter,Warpaints Fanatic,Fanatic,Acrylic,Aegis Aqua,,,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,Standard acrylic / should be enrichable
AP_FANATIC_AFTERGLOW,Army Painter,Warpaints Fanatic,Fanatic,Acrylic,Afterglow,,,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,Standard acrylic / should be enrichable
AP_FANATIC_AMULET_AQUA,Army Painter,Warpaints Fanatic,Fanatic,Acrylic,Amulet Aqua,,,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,Standard acrylic / should be enrichable
