Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,GW_Match_Name,GW_Match_Product_Line,GW_Match_Paint_ID,GW_Match_Hex,GW_Match_RGB,Comparison_Page,Match_Distance,Match_Confidence,GW_Match_Paint_ID,GW_Match_Name,GW_Match_Product_Line,GW_Match_Paint_Type,GW_Match_Hex,GW_Match_RGB,GW_RGB_Distance,Match_Confidence,GW_Match_Method
PA_PRO_ACRYL_DARK_MAGENTA,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Dark Magenta,DARK MAGENTA,#7C1645,124,22,69,"124,22,69",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Screamer Pink (Base), PDF p.8, confidence: High.",#7C1645,Screamer Pink,Base,GW_BASE_SCREAMER_PINK,#7C1645,"124,22,69",8,334.5,High,GW_BASE_SCREAMER_PINK,Screamer Pink,Base,Base,#7C1645,"124,22,69",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_PINK,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Pink,PINK,#B94278,185,66,120,"185,66,120",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Emperor‘s Children (Layer), PDF p.8, confidence: High.",#B94278,Emperor‘s Children,Layer,GW_LAYER_EMPEROR_S_CHILDREN,#B94278,"185,66,120",8,381.1,High,GW_LAYER_EMPEROR_S_CHILDREN,Emperor's Children,Layer,Layer,#B94278,"185,66,120",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_MAGENTA,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Magenta,MAGENTA,#B94278,185,66,120,"185,66,120",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Emperor‘s Children (Layer), PDF p.8, confidence: Medium.",#B94278,Emperor‘s Children,Layer,GW_LAYER_EMPEROR_S_CHILDREN,#B94278,"185,66,120",8,652.3,Medium,GW_LAYER_EMPEROR_S_CHILDREN,Emperor's Children,Layer,Layer,#B94278,"185,66,120",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_DARK_PLUM,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Dark Plum,DARK PLUM,#6A0002,106,0,2,"106,0,2",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Khorne Red (Base), PDF p.7, confidence: Low/manual audit.",#6A0002,Khorne Red,Base,GW_BASE_KHORNE_RED,#6A0002,"106,0,2",7,1244.5,Low/manual audit,GW_BASE_KHORNE_RED,Khorne Red,Base,Base,#6A0001,"106,0,1",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_PALE_PINK,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Pale Pink,PALE PINK,#B94278,185,66,120,"185,66,120",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Emperor‘s Children (Layer), PDF p.8, confidence: Medium.",#B94278,Emperor‘s Children,Layer,GW_LAYER_EMPEROR_S_CHILDREN,#B94278,"185,66,120",8,509.3,Medium,GW_LAYER_EMPEROR_S_CHILDREN,Emperor's Children,Layer,Layer,#B94278,"185,66,120",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_PLUM,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Plum,PLUM,#F4AFCC,244,175,204,"244,175,204",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Fulgrim Pink (Layer), PDF p.8, confidence: Low/manual audit.",#F4AFCC,Fulgrim Pink,Layer,GW_LAYER_FULGRIM_PINK,#F4AFCC,"244,175,204",8,771.8,Low/manual audit,GW_LAYER_FULGRIM_PINK,Fulgrim Pink,Layer,Layer,#F4AFCC,"244,175,204",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_PURPLE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Purple,PURPLE,#F4AFCC,244,175,204,"244,175,204",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Fulgrim Pink (Layer), PDF p.8, confidence: Low/manual audit.",#F4AFCC,Fulgrim Pink,Layer,GW_LAYER_FULGRIM_PINK,#F4AFCC,"244,175,204",8,1067.8,Low/manual audit,GW_LAYER_FULGRIM_PINK,Fulgrim Pink,Layer,Layer,#F4AFCC,"244,175,204",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_DARK_HOT_PINK,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Dark Hot Pink,DARK HOT PINK,#7C1645,124,22,69,"124,22,69",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Screamer Pink (Base), PDF p.8, confidence: Low/manual audit.",#7C1645,Screamer Pink,Base,GW_BASE_SCREAMER_PINK,#7C1645,"124,22,69",8,1064.5,Low/manual audit,GW_BASE_SCREAMER_PINK,Screamer Pink,Base,Base,#7C1645,"124,22,69",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_ROYAL_PURPLE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Royal Purple,ROYAL PURPLE,#471F5E,71,31,94,"71,31,94",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Xereus Purple (Layer), PDF p.9, confidence: High.",#471F5E,Xereus Purple,Layer,GW_LAYER_XEREUS_PURPLE,#471F5E,"71,31,94",9,330.5,High,GW_LAYER_XEREUS_PURPLE,Xereus Purple,Layer,Layer,#471F5F,"71,31,95",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_DARK_PURPLE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Dark Purple,DARK PURPLE,#8E8C97,142,140,151,"142,140,151",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Slaanesh Grey (Layer), PDF p.9, confidence: Medium.",#8E8C97,Slaanesh Grey,Layer,GW_LAYER_SLAANESH_GREY,#8E8C97,"142,140,151",9,506.2,Medium,GW_LAYER_ALAITOC_BLUE,Alaitoc Blue,Layer,Layer,#8E8C97,"142,140,151",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_FADED_PLUM,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Faded Plum,FADED PLUM,#B59ECC,181,158,204,"181,158,204",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Dechala Lilac (Layer), PDF p.9, confidence: Low/manual audit.",#B59ECC,Dechala Lilac,Layer,GW_LAYER_DECHALA_LILAC,#B59ECC,"181,158,204",9,865.4,Low/manual audit,GW_LAYER_DECHALA_LILAC,Dechala Lilac,Layer,Layer,#B59ECC,"181,158,204",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_FADED_ULTRAMARINE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Faded Ultramarine,FADED ULTRAMARINE,#4273B8,66,115,184,"66,115,184",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Calgar Blue (Layer), PDF p.10, confidence: Medium.",#4273B8,Calgar Blue,Layer,GW_LAYER_CALGAR_BLUE,#4273B8,"66,115,184",10,652.3,Medium,GW_LAYER_CALGAR_BLUE,Calgar Blue,Layer,Layer,#4272B8,"66,114,184",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_GREY_BLUE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Grey Blue,GREY BLUE,#709CB7,112,156,183,"112,156,183",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Fenrisian Grey (Layer), PDF p.26, confidence: High.",#709CB7,Fenrisian Grey,Layer,GW_LAYER_FENRISIAN_GREY,#709CB7,"112,156,183",26,326.6,High,GW_LAYER_FENRISIAN_GREY,Fenrisian Grey,Layer,Layer,#719BB7,"113,155,183",1.41,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_ULTRAMARINE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Ultramarine,ULTRAMARINE,#295788,41,87,136,"41,87,136",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Alaitoc Blue (Layer), PDF p.11, confidence: Medium.",#295788,Alaitoc Blue,Layer,GW_LAYER_ALAITOC_BLUE,#295788,"41,87,136",11,518.6,Medium,GW_TECHNICAL_SOULSTONE_BLUE,Soulstone Blue,Technical,Technical,#294C86,"41,76,134",11.18,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_DARK_BLUE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Dark Blue,DARK BLUE,#002051,0,32,81,"0,32,81",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Kantor Blue (Base), PDF p.10, confidence: High.",#002051,Kantor Blue,Base,GW_BASE_KANTOR_BLUE,#002051,"0,32,81",10,330,High,GW_BASE_KANTOR_BLUE,Kantor Blue,Base,Base,#002151,"0,33,81",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_PAYNE_S_GREY,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Payne’s Grey,PAYNE’S GREY,#002051,0,32,81,"0,32,81",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Kantor Blue (Base), PDF p.10, confidence: High.",#002051,Kantor Blue,Base,GW_BASE_KANTOR_BLUE,#002051,"0,32,81",10,330,High,GW_BASE_KANTOR_BLUE,Kantor Blue,Base,Base,#002151,"0,33,81",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_BLUE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Blue,BLUE,#396F9E,57,111,158,"57,111,158",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Caledor Sky (Base), PDF p.11, confidence: Medium.",#396F9E,Caledor Sky,Base,GW_BASE_CALEDOR_SKY,#396F9E,"57,111,158",11,660,Medium,GW_BASE_CALEDOR_SKY,Caledor Sky,Base,Base,#396E9E,"57,110,158",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_SKY_BLUE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Sky Blue,SKY BLUE,#396F9E,57,111,158,"57,111,158",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Caledor Sky (Base), PDF p.11, confidence: Low/manual audit.",#396F9E,Caledor Sky,Base,GW_BASE_CALEDOR_SKY,#396F9E,"57,111,158",11,771.7,Low/manual audit,GW_BASE_CALEDOR_SKY,Caledor Sky,Base,Base,#396E9E,"57,110,158",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_WHITE_BLUE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,White Blue,WHITE BLUE,#00A5B9,0,165,185,"0,165,185",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Ahriman Blue (Layer), PDF p.12, confidence: Low/manual audit.",#00A5B9,Ahriman Blue,Layer,GW_LAYER_AHRIMAN_BLUE,#00A5B9,"0,165,185",12,771.7,Low/manual audit,GW_LAYER_AHRIMAN_BLUE,Ahriman Blue,Layer,Layer,#00A5B9,"0,165,185",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_BLUE_BLACK,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Blue Black,BLUE BLACK,#33A2CF,51,162,207,"51,162,207",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Lothern Blue (Layer), PDF p.12, confidence: Medium.",#33A2CF,Lothern Blue,Layer,GW_LAYER_LOTHERN_BLUE,#33A2CF,"51,162,207",12,517,Medium,GW_LAYER_LOTHERN_BLUE,Lothern Blue,Layer,Layer,#34A2CF,"52,162,207",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_DARK_GREY_BLUE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Dark Grey Blue,DARK GREY BLUE,#33A2CF,51,162,207,"51,162,207",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Lothern Blue (Layer), PDF p.12, confidence: Low/manual audit.",#33A2CF,Lothern Blue,Layer,GW_LAYER_LOTHERN_BLUE,#33A2CF,"51,162,207",12,758.6,Low/manual audit,GW_LAYER_LOTHERN_BLUE,Lothern Blue,Layer,Layer,#34A2CF,"52,162,207",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_DARK_TURQUOISE,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Dark Turquoise,DARK TURQUOISE,#18ABCC,24,171,204,"24,171,204",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Thousand Sons Blue (Base), PDF p.12, confidence: High.",#18ABCC,Thousand Sons Blue,Base,GW_BASE_THOUSAND_SONS_BLUE,#18ABCC,"24,171,204",12,334,High,GW_BASE_THOUSAND_SONS_BLUE,Thousand Sons Blue,Base,Base,#18ABCC,"24,171,204",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
