Paint_ID,Pro_Acryl_Paint_Name,Filled_Hex,Filled_R,Filled_G,Filled_B,Filled_RGB,GW_Match_Name,GW_Product_Line,GW_Paint_ID,GW_Hex,GW_RGB,Comparison_Tool_Page,Match_Distance,Match_Confidence
PA_PRO_ACRYL_DARK_HOT_PINK,Dark Hot Pink,#7C1645,124,22,69,"124,22,69",Screamer Pink,Base,GW_BASE_SCREAMER_PINK,#7C1645,"124,22,69",8,1064.5,Low/manual audit
PA_PRO_ACRYL_ROYAL_PURPLE,Royal Purple,#471F5E,71,31,94,"71,31,94",Xereus Purple,Layer,GW_LAYER_XEREUS_PURPLE,#471F5E,"71,31,94",9,330.5,High
PA_PRO_ACRYL_DARK_PURPLE,Dark Purple,#8E8C97,142,140,151,"142,140,151",Slaanesh Grey,Layer,GW_LAYER_SLAANESH_GREY,#8E8C97,"142,140,151",9,506.2,Medium
PA_PRO_ACRYL_FADED_PLUM,Faded Plum,#B59ECC,181,158,204,"181,158,204",Dechala Lilac,Layer,GW_LAYER_DECHALA_LILAC,#B59ECC,"181,158,204",9,865.4,Low/manual audit
PA_PRO_ACRYL_FADED_ULTRAMARINE,Faded Ultramarine,#4273B8,66,115,184,"66,115,184",Calgar Blue,Layer,GW_LAYER_CALGAR_BLUE,#4273B8,"66,115,184",10,652.3,Medium
PA_PRO_ACRYL_GREY_BLUE,Grey Blue,#709CB7,112,156,183,"112,156,183",Fenrisian Grey,Layer,GW_LAYER_FENRISIAN_GREY,#709CB7,"112,156,183",26,326.6,High
PA_PRO_ACRYL_ULTRAMARINE,Ultramarine,#295788,41,87,136,"41,87,136",Alaitoc Blue,Layer,GW_LAYER_ALAITOC_BLUE,#295788,"41,87,136",11,518.6,Medium
PA_PRO_ACRYL_DARK_BLUE,Dark Blue,#002051,0,32,81,"0,32,81",Kantor Blue,Base,GW_BASE_KANTOR_BLUE,#002051,"0,32,81",10,330,High
PA_PRO_ACRYL_PAYNE_S_GREY,Payne’s Grey,#002051,0,32,81,"0,32,81",Kantor Blue,Base,GW_BASE_KANTOR_BLUE,#002051,"0,32,81",10,330,High
PA_PRO_ACRYL_BLUE,Blue,#396F9E,57,111,158,"57,111,158",Caledor Sky,Base,GW_BASE_CALEDOR_SKY,#396F9E,"57,111,158",11,660,Medium
PA_PRO_ACRYL_SKY_BLUE,Sky Blue,#396F9E,57,111,158,"57,111,158",Caledor Sky,Base,GW_BASE_CALEDOR_SKY,#396F9E,"57,111,158",11,771.7,Low/manual audit
PA_PRO_ACRYL_WHITE_BLUE,White Blue,#00A5B9,0,165,185,"0,165,185",Ahriman Blue,Layer,GW_LAYER_AHRIMAN_BLUE,#00A5B9,"0,165,185",12,771.7,Low/manual audit
PA_PRO_ACRYL_BLUE_BLACK,Blue Black,#33A2CF,51,162,207,"51,162,207",Lothern Blue,Layer,GW_LAYER_LOTHERN_BLUE,#33A2CF,"51,162,207",12,517,Medium
PA_PRO_ACRYL_DARK_GREY_BLUE,Dark Grey Blue,#33A2CF,51,162,207,"51,162,207",Lothern Blue,Layer,GW_LAYER_LOTHERN_BLUE,#33A2CF,"51,162,207",12,758.6,Low/manual audit
PA_PRO_ACRYL_DARK_TURQUOISE,Dark Turquoise,#18ABCC,24,171,204,"24,171,204",Thousand Sons Blue,Base,GW_BASE_THOUSAND_SONS_BLUE,#18ABCC,"24,171,204",12,334,High
PA_PRO_ACRYL_TURQUOISE,Turquoise,#329B8D,50,155,141,"50,155,141",Temple Guard Blue,Layer,GW_LAYER_TEMPLE_GUARD_BLUE,#329B8D,"50,155,141",13,334.5,High
PA_PRO_ACRYL_DARK_SEA_BEN,Dark Sea Ben,#0C6A74,12,106,116,"12,106,116",Sotek Green,Layer,GW_LAYER_SOTEK_GREEN,#0C6A74,"12,106,116",13,863.9,Low/manual audit
PA_PRO_ACRYL_DARK_JADE,Dark Jade,#0C6A74,12,106,116,"12,106,116",Sotek Green,Layer,GW_LAYER_SOTEK_GREEN,#0C6A74,"12,106,116",13,1037.1,Low/manual audit
PA_PRO_ACRYL_BRIGHT_PALE_GREEN,Bright Pale Green,#028D66,2,141,102,"2,141,102",Kabalite Green,Layer,GW_LAYER_KABALITE_GREEN,#028D66,"2,141,102",14,518.5,Medium
PA_PRO_ACRYL_BRIGHT_JADE,Bright Jade,#028D66,2,141,102,"2,141,102",Kabalite Green,Layer,GW_LAYER_KABALITE_GREEN,#028D66,"2,141,102",14,1020,Low/manual audit
PA_PRO_ACRYL_JADE,Jade,#00401E,0,64,30,"0,64,30",Caliban Green,Base,GW_BASE_CALIBAN_GREEN,#00401E,"0,64,30",14,1245.6,Low/manual audit
PA_PRO_ACRYL_DARK_EMERALD,Dark Emerald,#00401E,0,64,30,"0,64,30",Caliban Green,Base,GW_BASE_CALIBAN_GREEN,#00401E,"0,64,30",14,1245.6,Low/manual audit
PA_PRO_ACRYL_GREEN_OXIDE,Green Oxide,#84C2A9,132,194,169,"132,194,169",Gauss Blaster Green,Layer,GW_LAYER_GAUSS_BLASTER_GREEN,#84C2A9,"132,194,169",14,530.9,Medium
PA_PRO_ACRYL_GREEN,Green,#00401E,0,64,30,"0,64,30",Caliban Green,Base,GW_BASE_CALIBAN_GREEN,#00401E,"0,64,30",15,1068.1,Low/manual audit
PA_PRO_ACRYL_BRIGHT_GREEN,Bright Green,#52B246,82,178,70,"82,178,70",Moot Green,Layer,GW_LAYER_MOOT_GREEN,#52B246,"82,178,70",15,1369.5,Low/manual audit
PA_PRO_ACRYL_BLACK_GREEN,Black Green,#00401E,0,64,30,"0,64,30",Caliban Green,Base,GW_BASE_CALIBAN_GREEN,#00401E,"0,64,30",15,400.9,Medium
PA_PRO_ACRYL_BRIGHT_YELLOW_GREEN,Bright Yellow Green,#00401E,0,64,30,"0,64,30",Caliban Green,Base,GW_BASE_CALIBAN_GREEN,#00401E,"0,64,30",15,380.5,High
PA_PRO_ACRYL_FADED_GREEN,Faded Green,#5F936F,95,147,111,"95,147,111",Skarsnik Green,Layer,GW_LAYER_SKARSNIK_GREEN,#5F936F,"95,147,111",16,501.4,Medium
PA_PRO_ACRYL_YELLOW_GREEN,Yellow Green,#849B63,132,155,99,"132,155,99",Nurgling Green,Dry,GW_DRY_NURGLING_GREEN,#849B63,"132,155,99",16,656.3,Medium
PA_PRO_ACRYL_CAMO_GREEN,Camo Green,#51702D,81,112,45,"81,112,45",Loren Forest,Layer,GW_LAYER_LOREN_FOREST,#51702D,"81,112,45",16,330,High
PA_PRO_ACRYL_KHAKI,Khaki,#9EA94B,158,169,75,"158,169,75",Ogryn Camo,Layer,GW_LAYER_OGRYN_CAMO,#9EA94B,"158,169,75",17,1037.1,Low/manual audit
PA_PRO_ACRYL_DARK_YELLOW_GREEN,Dark Yellow Green,#758E3A,117,142,58,"117,142,58",Elysian Green,Layer,GW_LAYER_ELYSIAN_GREEN,#758E3A,"117,142,58",17,334.5,High
PA_PRO_ACRYL_DARK_CAMO_GREEN,Dark Camo Green,#9EA94B,158,169,75,"158,169,75",Ogryn Camo,Layer,GW_LAYER_OGRYN_CAMO,#9EA94B,"158,169,75",17,381.5,High
PA_PRO_ACRYL_IVORY,Ivory,#CDCEBE,205,206,190,"205,206,190",Pallid Wych Flesh,Layer,GW_LAYER_PALLID_WYCH_FLESH,#CDCEBE,"205,206,190",18,326.6,High
PA_PRO_ACRYL_BRIGHT_IVORY,Bright Ivory,#CDCEBE,205,206,190,"205,206,190",Pallid Wych Flesh,Layer,GW_LAYER_PALLID_WYCH_FLESH,#CDCEBE,"205,206,190",18,1354.9,Low/manual audit
PA_PRO_ACRYL_HEAVY_WARM_WHITE_SATIN,Heavy Warm White (satin),#D4D3A3,212,211,163,"212,211,163",Screaming Skull,Layer,GW_LAYER_SCREAMING_SKULL,#D4D3A3,"212,211,163",18,400.5,Medium
PA_PRO_ACRYL_DARK_IVORY,Dark Ivory,#CDCEBE,205,206,190,"205,206,190",Pallid Wych Flesh,Layer,GW_LAYER_PALLID_WYCH_FLESH,#CDCEBE,"205,206,190",18,656.3,Medium
PA_PRO_ACRYL_BONE_SATIN,Bone (satin),#A29E92,162,158,146,"162,158,146",Rakarth Flesh,Base,GW_BASE_RAKARTH_FLESH,#A29E92,"162,158,146",18,330,High
PA_PRO_ACRYL_OLIVE_FLESH,Olive Flesh,#CBB48B,203,180,139,"203,180,139",Flayed One Flesh,Layer,GW_LAYER_FLAYED_ONE_FLESH,#CBB48B,"203,180,139",21,664.3,Medium
PA_PRO_ACRYL_BRIGHT_YELLOW_OCHRE,Bright Yellow Ochre,#8B5910,139,89,16,"139,89,16",Balor Brown,Layer,GW_LAYER_BALOR_BROWN,#8B5910,"139,89,16",19,765.8,Low/manual audit
PA_PRO_ACRYL_YELLOW_OCHRE,Yellow Ochre,#DCA026,220,160,38,"220,160,38",Zamesi Desert,Layer,GW_LAYER_ZAMESI_DESERT,#DCA026,"220,160,38",19,883,Low/manual audit
PA_PRO_ACRYL_DARK_GREEN_BROWN,Dark Green Brown,#72481E,114,72,30,"114,72,30",XV-88,Base,GW_BASE_XV_88,#72481E,"114,72,30",19,778.1,Low/manual audit
PA_PRO_ACRYL_DARK_GOLDEN_BROWN,Dark Golden Brown,#72481E,114,72,30,"114,72,30",XV-88,Base,GW_BASE_XV_88,#72481E,"114,72,30",19,530.5,Medium
PA_PRO_ACRYL_DRAB_BROWN,Drab Brown,#72481E,114,72,30,"114,72,30",XV-88,Base,GW_BASE_XV_88,#72481E,"114,72,30",19,864.2,Low/manual audit
PA_PRO_ACRYL_CARAMEL_BROWN,Caramel Brown,#72481E,114,72,30,"114,72,30",XV-88,Base,GW_BASE_XV_88,#72481E,"114,72,30",19,654.2,Medium
PA_PRO_ACRYL_RED_OXIDE,Red Oxide,#B36853,179,104,83,"179,104,83",Deathclaw Brown,Layer,GW_LAYER_DEATHCLAW_BROWN,#B36853,"179,104,83",20,419,Medium
PA_PRO_ACRYL_DARK_FLESH,Dark Flesh,#904A0F,144,74,15,"144,74,15",Skrag Brown,Layer,GW_LAYER_SKRAG_BROWN,#904A0F,"144,74,15",20,800,Low/manual audit
PA_PRO_ACRYL_MAHOGANY,Mahogany,#493335,73,51,53,"73,51,53",Rhinox Hide,Base,GW_BASE_RHINOX_HIDE,#493335,"73,51,53",20,769.2,Low/manual audit
PA_PRO_ACRYL_BURNT_SIENNA,Burnt Sienna,#5D000A,93,0,10,"93,0,10",Doombull Brown,Layer,GW_LAYER_DOOMBULL_BROWN,#5D000A,"93,0,10",20,506.7,Medium
PA_PRO_ACRYL_GOLDEN_BROWN,Golden Brown,#D7A767,215,167,103,"215,167,103",Ungor Flesh,Layer,GW_LAYER_UNGOR_FLESH,#D7A767,"215,167,103",20,330,High
PA_PRO_ACRYL_WARM_FLESH,Warm Flesh,#CBB48B,203,180,139,"203,180,139",Flayed One Flesh,Layer,GW_LAYER_FLAYED_ONE_FLESH,#CBB48B,"203,180,139",21,530.7,Medium
PA_PRO_ACRYL_BEIGE_RED,Beige Red,#D7A767,215,167,103,"215,167,103",Ungor Flesh,Layer,GW_LAYER_UNGOR_FLESH,#D7A767,"215,167,103",21,865.4,Low/manual audit
PA_PRO_ACRYL_DARK_WARM_FLESH,Dark Warm Flesh,#AE6B4E,174,107,78,"174,107,78",Ratskin Flesh,Base,GW_BASE_RATSKIN_FLESH,#AE6B4E,"174,107,78",21,419,Medium
PA_PRO_ACRYL_TAN_FLESH,Tan Flesh,#845045,132,80,69,"132,80,69",Bugman‘s Glow,Base,GW_BASE_BUGMAN_S_GLOW,#845045,"132,80,69",22,335.2,High
PA_PRO_ACRYL_ADVANCED_FLESH_TONE,Advanced Flesh Tone,#AE6B4E,174,107,78,"174,107,78",Ratskin Flesh,Base,GW_BASE_RATSKIN_FLESH,#AE6B4E,"174,107,78",21,334.5,High
PA_PRO_ACRYL_BRIGHT_SHADOW_FLESH,Bright Shadow Flesh,#AE6B4E,174,107,78,"174,107,78",Ratskin Flesh,Base,GW_BASE_RATSKIN_FLESH,#AE6B4E,"174,107,78",22,322.5,High
PA_PRO_ACRYL_SHADOW_FLESH,Shadow Flesh,#AE6B4E,174,107,78,"174,107,78",Ratskin Flesh,Base,GW_BASE_RATSKIN_FLESH,#AE6B4E,"174,107,78",22,800,Low/manual audit
PA_PRO_ACRYL_WARM_BROWN,Warm Brown,#654641,101,70,65,"101,70,65",Gorthor Brown,Layer,GW_LAYER_GORTHOR_BROWN,#654641,"101,70,65",23,532.6,Medium
PA_PRO_ACRYL_BLACK_BROWN,Black Brown,#493335,73,51,53,"73,51,53",Rhinox Hide,Base,GW_BASE_RHINOX_HIDE,#493335,"73,51,53",23,400,Medium
PA_PRO_ACRYL_LIGHT_UMBER,Light Umber,#654641,101,70,65,"101,70,65",Gorthor Brown,Layer,GW_LAYER_GORTHOR_BROWN,#654641,"101,70,65",23,334.5,High
PA_PRO_ACRYL_DARK_UMBER,Dark Umber,#650A09,101,10,9,"101,10,9",Mournfang Brown,Base,GW_BASE_MOURNFANG_BROWN,#650A09,"101,10,9",23,381.1,High
PA_PRO_ACRYL_RED_GREY,Red Grey,#A29E92,162,158,146,"162,158,146",Rakarth Flesh,Base,GW_BASE_RAKARTH_FLESH,#A29E92,"162,158,146",24,400,Medium
PA_PRO_ACRYL_BROWN_GREY,Brown Grey,#736C66,115,108,102,"115,108,102",Stormvermin Fur,Layer,GW_LAYER_STORMVERMIN_FUR,#736C66,"115,108,102",24,1068.7,Low/manual audit
PA_PRO_ACRYL_BRIGHT_WARM_GREY,Bright Warm Grey,#736C66,115,108,102,"115,108,102",Stormvermin Fur,Layer,GW_LAYER_STORMVERMIN_FUR,#736C66,"115,108,102",24,400,Medium
PA_PRO_ACRYL_WARM_GREY,Warm Grey,#C7E0DA,199,224,218,"199,224,218",Ulthuan Grey,Layer,GW_LAYER_ULTHUAN_GREY,#C7E0DA,"199,224,218",25,772.4,Low/manual audit
PA_PRO_ACRYL_DARK_WARM_GREY,Dark Warm Grey,#48413B,72,65,59,"72,65,59",Skavenblight Dinge,Layer,GW_LAYER_SKAVENBLIGHT_DINGE,#48413B,"72,65,59",25,326,High
PA_PRO_ACRYL_BOLD_TITANIUM_WHITE,Bold Titanium White,#C7E0DA,199,224,218,"199,224,218",Ulthuan Grey,Layer,GW_LAYER_ULTHUAN_GREY,#C7E0DA,"199,224,218",25,418.5,Medium
PA_PRO_ACRYL_HEAVY_TITANI_UM_WHITE,Heavy Titani- um White,#FFFFFF,255,255,255,"255,255,255",Corax White,Base,GW_BASE_CORAX_WHITE,#FFFFFF,"255,255,255",25,418.5,Medium
PA_PRO_ACRYL_BRIGHT_NEUTRAL_GREY,Bright Neutral Grey,#FFFFFF,255,255,255,"255,255,255",Corax White,Base,GW_BASE_CORAX_WHITE,#FFFFFF,"255,255,255",25,334.5,High
PA_PRO_ACRYL_NEUTRAL_GREY,Neutral Grey,#4A4F53,74,79,83,"74,79,83",Eshin Grey,Layer,GW_LAYER_ESHIN_GREY,#4A4F53,"74,79,83",25,771.7,Low/manual audit
PA_PRO_ACRYL_DARK_NEUTRAL_GREY,Dark Neutral Grey,#4A4F53,74,79,83,"74,79,83",Eshin Grey,Layer,GW_LAYER_ESHIN_GREY,#4A4F53,"74,79,83",25,322.5,High
PA_PRO_ACRYL_COAL_BLACK,Coal Black,#231F20,35,31,32,"35,31,32",Abaddon Black,Base,GW_BASE_ABADDON_BLACK,#231F20,"35,31,32",27,326.5,High
PA_PRO_ACRYL_SATIN_BLACK,Satin Black,#3C5051,60,80,81,"60,80,81",Dark Reaper,Layer,GW_LAYER_DARK_REAPER,#3C5051,"60,80,81",27,518.6,Medium
PA_PRO_ACRYL_SILVER,Silver,#C6CBD0,198,203,208,"198,203,208",Runefang Steel,Layer,GW_LAYER_RUNEFANG_STEEL,#C6CBD0,"198,203,208",28,654.2,Medium
PA_PRO_ACRYL_DARK_SILVER,Dark Silver,#475659,71,86,89,"71,86,89",Leadbelcher,Base,GW_BASE_LEADBELCHER,#475659,"71,86,89",28,518.6,Medium
PA_PRO_ACRYL_WHITE_GOLD,White Gold,#CEAE65,206,174,101,"206,174,101",Retributor Armour,Base,GW_BASE_RETRIBUTOR_ARMOUR,#CEAE65,"206,174,101",29,755.2,Low/manual audit
PA_PRO_ACRYL_LIGHT_BRONZE,Light Bronze,#D5C4AA,213,196,170,"213,196,170",Liberator Gold,Layer,GW_LAYER_LIBERATOR_GOLD,#D5C4AA,"213,196,170",29,664.3,Medium
PA_PRO_ACRYL_BRIGHT_GOLD,Bright Gold,#D5C4AA,213,196,170,"213,196,170",Liberator Gold,Layer,GW_LAYER_LIBERATOR_GOLD,#D5C4AA,"213,196,170",29,334.5,High
PA_PRO_ACRYL_RICH_GOLD,Rich Gold,#CEAE65,206,174,101,"206,174,101",Retributor Armour,Base,GW_BASE_RETRIBUTOR_ARMOUR,#CEAE65,"206,174,101",29,322.6,High
PA_PRO_ACRYL_BRONZE,Bronze,#CBB394,203,179,148,"203,179,148",Sycorax Bronze,Layer,GW_LAYER_SYCORAX_BRONZE,#CBB394,"203,179,148",30,1287.9,Low/manual audit
PA_PRO_ACRYL_MAGNESIUM,Magnesium,#CBB394,203,179,148,"203,179,148",Sycorax Bronze,Layer,GW_LAYER_SYCORAX_BRONZE,#CBB394,"203,179,148",30,881.5,Low/manual audit
PA_PRO_ACRYL_COPPER,Copper,#C69169,198,145,105,"198,145,105",Hashut Copper,Layer,GW_LAYER_HASHUT_COPPER,#C69169,"198,145,105",30,330.6,High
PA_PRO_ACRYL_DARK_BRONZE,Dark Bronze,#CBB394,203,179,148,"203,179,148",Sycorax Bronze,Layer,GW_LAYER_SYCORAX_BRONZE,#CBB394,"203,179,148",30,535.8,Medium
