paint_id,brand,paint_name,paint_type,color_family,triad_family,hex,status,source_group,source_column,source_row,notes
citadel_base_phoenician_purple,Citadel,Phoenician Purple,Base,Purple,Magentas,,Active,Base Paints Name,B,13,Army Painter triad via conversion match: Diabolic Plum
citadel_base_rakarth_flesh,Citadel,Rakarth Flesh,Base,Brown,,#A29E92,Active,Base Paints Name,B,14,
citadel_base_ratskin_flesh,Citadel,Ratskin Flesh,Base,Brown,Rose Skin Tones,#AE6B4E,Active,Base Paints Name,B,15,Army Painter triad via conversion match: Opal Skin
citadel_base_retributor_armour,Citadel,Retributor Armour,Base,Gold,,#CEAE65,Active,Base Paints Name,B,16,
citadel_base_rhinox_hide,Citadel,Rhinox Hide,Base,Brown,,#493335,Active,Base Paints Name,B,17,
citadel_base_runelord_brass,Citadel,Runelord Brass,Base,Brass,,#BCAFA0,Active,Base Paints Name,B,18,
citadel_base_screamer_pink,Citadel,Screamer Pink,Base,Pink,Desaturated Violets,#7C1645,Active,Base Paints Name,B,19,Army Painter triad via conversion match: Moldy Wine
citadel_base_screaming_bell,Citadel,Screaming Bell,Base,Bronze,,#B3562B,Active,Base Paints Name,B,20,
citadel_base_steel_legion_drab,Citadel,Steel Legion Drab,Base,Brown,Ochres & Tans,#5F5134,Active,Base Paints Name,B,21,Army Painter triad via conversion match: Wasteland Clay
citadel_base_stegadon_scale_green,Citadel,Stegadon Scale Green,Base,Blue-Green,,#074864,Active,Base Paints Name,B,22,
citadel_base_the_fang,Citadel,The Fang,Base,Black and Grey,Desaturated Blue-Greys,#436276,Active,Base Paints Name,B,23,Army Painter triad via conversion match: Thunderous Blue
citadel_base_thondia_brown,Citadel,Thondia Brown,Base,Brown,,,Active,Base Paints Name,B,24,
citadel_base_thousand_sons_blue,Citadel,Thousand Sons Blue,Base,Blue,,#18ABCC,Active,Base Paints Name,B,25,
citadel_base_waaagh_flesh,Citadel,Waaagh! Flesh,Base,Green,Olive Greens,#20552B,Active,Base Paints Name,B,28,Army Painter triad via conversion match: Woodland Camo
citadel_base_warplock_bronze,Citadel,Warplock Bronze,Base,Bronze,,#695154,Active,Base Paints Name,B,26,
citadel_base_wraithbone,Citadel,Wraithbone,Base,Brown,Light Neutrals,,Active,Base Paints Name,B,29,Army Painter triad via conversion match: Pale Sand
citadel_base_xv_88,Citadel,XV-88,Base,Brown,,#72481E,Active,Base Paints Name,B,27,
citadel_base_zandri_dust,Citadel,Zandri Dust,Base,Brown,Ochres & Tans,#9E915C,Active,Base Paints Name,B,30,Army Painter triad via conversion match: Desert Yellow
citadel_contrast_aeldari_emerald,Citadel,Aeldari Emerald,Contrast,Green,,,Active,Contrast Paint Name,F,3,
citadel_contrast_aethermatic_blue,Citadel,Aethermatic Blue,Contrast,Blue,,,Active,Contrast Paint Name,F,4,
citadel_contrast_aggaros_dunes,Citadel,Aggaros Dunes,Contrast,Brown,,,Active,Contrast Paint Name,F,5,
citadel_contrast_akhelian_green,Citadel,Akhelian Green,Contrast,Green,,,Active,Contrast Paint Name,F,6,
citadel_contrast_apothecary_white,Citadel,Apothecary White,Contrast,White,,,Active,Contrast Paint Name,F,7,
citadel_contrast_asurmen_blue,Citadel,Asurmen Blue,Contrast,Blue,,,Active,Contrast Paint Name,F,8,
citadel_contrast_baal_red,Citadel,Baal Red,Contrast,Red,,,Active,Contrast Paint Name,F,9,
citadel_contrast_bad_moon_yellow,Citadel,Bad Moon Yellow,Contrast,Yellow,,,Active,Contrast Paint Name,F,10,
citadel_contrast_basilicanum_grey,Citadel,Basilicanum Grey,Contrast,Black and Grey,,,Active,Contrast Paint Name,F,11,
citadel_contrast_black_legion,Citadel,Black Legion,Contrast,Black and Grey,,,Active,Contrast Paint Name,F,12,
citadel_contrast_black_templar,Citadel,Black Templar,Contrast,Black and Grey,,,Active,Contrast Paint Name,F,13,
citadel_contrast_blood_angels_red,Citadel,Blood Angels Red,Contrast,Red,,,Active,Contrast Paint Name,F,14,
citadel_contrast_briar_queen_chill,Citadel,Briar Queen Chill,Contrast,Blue,,,Active,Contrast Paint Name,F,15,
citadel_contrast_celestium_blue,Citadel,Celestium Blue,Contrast,Blue,,,Active,Contrast Paint Name,F,16,
citadel_contrast_creed_camo,Citadel,Creed Camo,Contrast,Green,,,Active,Contrast Paint Name,F,17,
citadel_contrast_cygor_brown,Citadel,Cygor Brown,Contrast,Brown,,,Active,Contrast Paint Name,F,18,
citadel_contrast_dark_angels_green,Citadel,Dark Angels Green,Contrast,Green,Deep Greens,,Active,Contrast Paint Name,F,19,Army Painter triad via conversion match: Angel Green
citadel_contrast_darkoath_flesh,Citadel,Darkoath Flesh,Contrast,Brown,,,Active,Contrast Paint Name,F,20,
citadel_contrast_doomfire_magenta,Citadel,Doomfire Magenta,Contrast,Pink,,,Active,Contrast Paint Name,F,21,
citadel_contrast_dreadful_visage,Citadel,Dreadful Visage,Contrast,Purple,,,Active,Contrast Paint Name,F,22,
citadel_contrast_flesh_tearers_red,Citadel,Flesh Tearers Red,Contrast,Red,,,Active,Contrast Paint Name,F,23,
citadel_contrast_frostheart,Citadel,Frostheart,Contrast,Blue,,,Active,Contrast Paint Name,F,24,
citadel_contrast_fyreslayer_flesh,Citadel,Fyreslayer Flesh,Contrast,Brown,,,Active,Contrast Paint Name,F,25,
citadel_contrast_garaghak_s_sewer,Citadel,Garaghak's Sewer,Contrast,Brown,,,Active,Contrast Paint Name,F,26,
citadel_contrast_gore_grunta_fur,Citadel,Gore-Grunta Fur,Contrast,Brown,,,Active,Contrast Paint Name,F,27,
citadel_contrast_gryph_charger_grey,Citadel,Gryph-Charger Grey,Contrast,Black and Grey,,,Active,Contrast Paint Name,F,28,
citadel_contrast_gryph_hound_orange,Citadel,Gryph-Hound Orange,Contrast,Orange,,,Active,Contrast Paint Name,F,29,
citadel_contrast_guilliman_flesh,Citadel,Guilliman Flesh,Contrast,Brown,,,Active,Contrast Paint Name,F,30,
citadel_contrast_gutrippa_flesh,Citadel,Gutrippa Flesh,Contrast,Brown,,,Active,Contrast Paint Name,F,31,
citadel_contrast_imperial_fist,Citadel,Imperial Fist,Contrast,Yellow,,,Active,Contrast Paint Name,F,32,
citadel_contrast_ironjawz_yellow,Citadel,Ironjawz Yellow,Contrast,Yellow,,,Active,Contrast Paint Name,G,3,
citadel_contrast_iyanden_yellow,Citadel,Iyanden Yellow,Contrast,Yellow,,,Active,Contrast Paint Name,G,4,
citadel_contrast_karandras_green,Citadel,Karandras Green,Contrast,Green,,,Active,Contrast Paint Name,G,5,
citadel_contrast_kroxigor_scales,Citadel,Kroxigor Scales,Contrast,Blue-Green,,,Active,Contrast Paint Name,G,6,
citadel_contrast_leviadon_blue,Citadel,Leviadon Blue,Contrast,Blue,,,Active,Contrast Paint Name,G,7,
citadel_contrast_leviathan_purple,Citadel,Leviathan Purple,Contrast,Purple,,,Active,Contrast Paint Name,G,8,
citadel_contrast_luxion_purple,Citadel,Luxion Purple,Contrast,Purple,,,Active,Contrast Paint Name,G,9,
citadel_contrast_magmadroth_flame,Citadel,Magmadroth Flame,Contrast,Orange,,,Active,Contrast Paint Name,G,10,
citadel_contrast_magos_purple,Citadel,Magos Purple,Contrast,Purple,,,Active,Contrast Paint Name,G,11,
citadel_contrast_mantis_warriors_green,Citadel,Mantis Warriors Green,Contrast,Green,,,Active,Contrast Paint Name,G,12,
citadel_contrast_militarum_green,Citadel,Militarum Green,Contrast,Green,,,Active,Contrast Paint Name,G,13,
citadel_contrast_nazdreg_yellow,Citadel,Nazdreg Yellow,Contrast,Yellow,,,Active,Contrast Paint Name,G,14,
citadel_contrast_nighthaunt_gloom,Citadel,Nighthaunt Gloom,Contrast,Blue,,#798D96,Active,Contrast Paint Name,G,15,
citadel_contrast_ork_flesh,Citadel,Ork Flesh,Contrast,Brown,,,Active,Contrast Paint Name,G,16,
citadel_contrast_plaguebearer_flesh,Citadel,Plaguebearer Flesh,Contrast,Brown,,,Active,Contrast Paint Name,G,17,
citadel_contrast_pylar_glacier,Citadel,Pylar Glacier,Contrast,Blue,,,Active,Contrast Paint Name,G,18,
citadel_contrast_ratling_grime,Citadel,Ratling Grime,Contrast,Brown,,,Active,Contrast Paint Name,G,19,
citadel_contrast_shyish_purple,Citadel,Shyish Purple,Contrast,Purple,,,Active,Contrast Paint Name,G,20,
citadel_contrast_sigvald_burgundy,Citadel,Sigvald Burgundy,Contrast,Red,,,Active,Contrast Paint Name,G,21,
citadel_contrast_skeleton_horde,Citadel,Skeleton Horde,Contrast,Brown,,,Active,Contrast Paint Name,G,22,
citadel_contrast_snakebite_leather,Citadel,Snakebite Leather,Contrast,Brown,,,Active,Contrast Paint Name,G,23,
citadel_contrast_space_wolves_grey,Citadel,Space Wolves Grey,Contrast,Black and Grey,,,Active,Contrast Paint Name,G,24,
citadel_contrast_stormfiend,Citadel,Stormfiend,Contrast,Blue,,,Active,Contrast Paint Name,G,25,
citadel_contrast_striking_scorpion_green,Citadel,Striking Scorpion Green,Contrast,Green,,,Active,Contrast Paint Name,G,26,
citadel_contrast_talassar_blue,Citadel,Talassar Blue,Contrast,Blue,,,Active,Contrast Paint Name,G,27,
citadel_contrast_terradon_turquoise,Citadel,Terradon Turquoise,Contrast,Blue-Green,,,Active,Contrast Paint Name,G,28,
citadel_contrast_ultramarines_blue,Citadel,Ultramarines Blue,Contrast,Blue,,,Active,Contrast Paint Name,G,29,
citadel_contrast_volupus_pink,Citadel,Volupus Pink,Contrast,Pink,,,Active,Contrast Paint Name,G,30,
citadel_contrast_warp_lightning,Citadel,Warp Lightning,Contrast,Green,,,Active,Contrast Paint Name,G,31,
citadel_contrast_wyldwood,Citadel,Wyldwood,Contrast,Brown,,,Active,Contrast Paint Name,G,32,
citadel_dry_astorath_red,Citadel,Astorath Red,Dry,Red,,#962F28,Active,Dry Paints Name,J,3,
citadel_dry_changeling_pink,Citadel,Changeling Pink,Dry,Pink,,#F4AFCE,Active,Dry Paints Name,J,4,
citadel_dry_chronus_blue,Citadel,Chronus Blue,Dry,Blue,,#6E97CF,Active,Dry Paints Name,J,5,
citadel_dry_dawnstone,Citadel,Dawnstone,Dry,Black and Grey,Black & Greys,#70756E,Active,Dry Paints Name,J,6,Army Painter triad via conversion match: Uniform Grey
citadel_dry_eldar_flesh,Citadel,Eldar Flesh,Dry,Brown,,#EDC184,Active,Dry Paints Name,J,7,
citadel_dry_etherium_blue,Citadel,Etherium Blue,Dry,Blue,,#A1B9D1,Active,Dry Paints Name,J,8,
citadel_dry_golden_griffon,Citadel,Golden Griffon,Dry,Gold,,#C6B791,Active,Dry Paints Name,J,9,
citadel_dry_golgfag_brown,Citadel,Golgfag Brown,Dry,Brown,,#8B5435,Active,Dry Paints Name,J,10,
citadel_dry_hellion_green,Citadel,Hellion Green,Dry,Green,,#83C3A9,Active,Dry Paints Name,J,11,
citadel_dry_hexos_palesun,Citadel,Hexos Palesun,Dry,Yellow,,#F1DCA3,Active,Dry Paints Name,J,12,
citadel_dry_hoeth_blue,Citadel,Hoeth Blue,Dry,Blue,Deep Green-Blues,#4C7FB4,Active,Dry Paints Name,J,13,Army Painter triad via conversion match: Aegis Aqua
citadel_dry_imrik_blue,Citadel,Imrik Blue,Dry,Blue,,#4F8DBE,Active,Dry Paints Name,J,14,
citadel_dry_kindleflame,Citadel,Kindleflame,Dry,Orange,,#EFB494,Active,Dry Paints Name,J,15,
citadel_dry_longbeard_grey,Citadel,Longbeard Grey,Dry,Black and Grey,,#B4AEAE,Active,Dry Paints Name,J,16,
citadel_dry_lucius_lilac,Citadel,Lucius Lilac,Dry,Purple,,#B69FCB,Active,Dry Paints Name,J,17,
citadel_dry_necron_compound,Citadel,Necron Compound,Dry,Silver,,#B1B5B8,Active,Dry Paints Name,J,18,
citadel_dry_niblet_green,Citadel,Niblet Green,Dry,Green,,#648B32,Active,Dry Paints Name,J,19,
citadel_dry_nurgling_green,Citadel,Nurgling Green,Dry,Green,Olive Greens,#849B63,Active,Dry Paints Name,J,20,Army Painter triad via conversion match: Necrotic Flesh
citadel_dry_praxeti_white,Citadel,Praxeti White,Dry,White,,#FFFFFF,Active,Dry Paints Name,J,21,
citadel_dry_ryza_rust,Citadel,Ryza Rust,Dry,Orange,,#CE6426,Active,Dry Paints Name,J,22,
citadel_dry_sigmarite,Citadel,Sigmarite,Dry,Brass,,#DAC38D,Active,Dry Paints Name,J,23,
citadel_dry_skink_blue,Citadel,Skink Blue,Dry,Blue,,#59C1CE,Active,Dry Paints Name,J,24,
citadel_dry_slaanesh_grey,Citadel,Slaanesh Grey,Dry,Black and Grey,,#8E8C97,Active,Dry Paints Name,J,25,
citadel_dry_stormfang,Citadel,Stormfang,Dry,Blue,,#7188AA,Active,Dry Paints Name,J,26,
citadel_dry_sylvaneth_bark,Citadel,Sylvaneth Bark,Dry,Brown,,#5A5140,Active,Dry Paints Name,J,27,
citadel_dry_terminatus_stone,Citadel,Terminatus Stone,Dry,Black and Grey,,#BDAA9B,Active,Dry Paints Name,J,28,
citadel_dry_thunderhawk_blue,Citadel,Thunderhawk Blue,Dry,Blue-Green,,#417175,Active,Dry Paints Name,J,29,
citadel_dry_tyrant_skull,Citadel,Tyrant Skull,Dry,Brown,,#C6AF8B,Active,Dry Paints Name,J,30,
citadel_dry_underhive_ash,Citadel,Underhive Ash,Dry,Brown,,#BFBD80,Active,Dry Paints Name,J,31,
citadel_dry_verminlord_hide,Citadel,Verminlord Hide,Dry,Brown,,#773A37,Active,Dry Paints Name,J,32,
citadel_dry_wrack_white,Citadel,Wrack White,Dry,White,,#DEDAD9,Active,Dry Paints Name,J,33,
citadel_layer_administratum_grey,Citadel,Administratum Grey,Layer,Black and Grey,Black & Greys,#949B94,Active,Layer Paint Name,C,3,Army Painter triad via conversion match: Ash Grey
citadel_layer_ahriman_blue,Citadel,Ahriman Blue,Layer,Blue,Deep Green-Blues,#00A5B9,Active,Layer Paint Name,C,4,Army Painter triad via conversion match: Tidal Blue
citadel_layer_alaitoc_blue,Citadel,Alaitoc Blue,Layer,Blue,,#295788,Active,Layer Paint Name,C,5,
citadel_layer_altdorf_guard_blue,Citadel,Altdorf Guard Blue,Layer,Blue,Strong Pale Blues,#1F56A8,Active,Layer Paint Name,C,6,Army Painter triad via conversion match: Ultramarine Blue
citadel_layer_auric_armour_gold,Citadel,Auric Armour Gold,Layer,Gold,Metals - Silver,#E9C278,Active,Layer Paint Name,C,7,Army Painter triad via conversion match: Bright Gold
citadel_layer_baharroth_blue,Citadel,Baharroth Blue,Layer,Blue,Turquoises,#78C4C7,Active,Layer Paint Name,C,8,Army Painter triad via conversion match: Turquoise Siren
citadel_layer_balor_brown,Citadel,Balor Brown,Layer,Brown,Ochres & Tans,#8B5910,Active,Layer Paint Name,C,9,Army Painter triad via conversion match: Wasteland Clay
citadel_layer_baneblade_brown,Citadel,Baneblade Brown,Layer,Brown,Browns,#927F6E,Active,Layer Paint Name,C,10,Army Painter triad via conversion match: Paratrooper Tan
citadel_layer_bestigor_flesh,Citadel,Bestigor Flesh,Layer,Brown,Rose Skin Tones,#D28B57,Active,Layer Paint Name,C,11,Army Painter triad via conversion match: Barbarian Flesh
citadel_layer_bloodreaver_flesh,Citadel,Bloodreaver Flesh,Layer,Brown,,,Active,Layer Paint Name,C,12,
citadel_layer_blue_horror,Citadel,Blue Horror,Layer,Blue,Strong Pale Blues,#A2BAD2,Active,Layer Paint Name,C,13,Army Painter triad via conversion match: Augur Blue
citadel_layer_brass_scorpion,Citadel,Brass Scorpion,Layer,Brass,Metals - Brass,#B7895F,Active,Layer Paint Name,C,14,Army Painter triad via conversion match: Weapon Bronze
citadel_layer_cadian_fleshtone,Citadel,Cadian Fleshtone,Layer,Brown,Rose Skin Tones,#C87958,Active,Layer Paint Name,C,15,Army Painter triad via conversion match: Agate Skin
citadel_layer_calgar_blue,Citadel,Calgar Blue,Layer,Blue,Strong Pale Blues,#4273B8,Active,Layer Paint Name,C,16,Army Painter triad via conversion match: Alpha Blue
citadel_layer_canoptek_alloy,Citadel,Canoptek Alloy,Layer,Silver,,,Active,Layer Paint Name,C,17,
citadel_layer_castellax_bronze,Citadel,Castellax Bronze,Layer,Bronze,,,Active,Layer Paint Name,C,18,
citadel_layer_dark_reaper,Citadel,Dark Reaper,Layer,Purple,Desaturated Blue-Greys,#3C5051,Active,Layer Paint Name,C,19,Army Painter triad via conversion match: Night Sky
citadel_layer_dawnstone,Citadel,Dawnstone,Layer,Black and Grey,Black & Greys,#70756E,Active,Layer Paint Name,C,20,Army Painter triad via conversion match: Uniform Grey
citadel_layer_deathclaw_brown,Citadel,Deathclaw Brown,Layer,Brown,Ruddy Browns,#B36853,Active,Layer Paint Name,C,21,Army Painter triad via conversion match: Buffed Hide
citadel_layer_dechala_lilac,Citadel,Dechala Lilac,Layer,Purple,Purples,#B59ECC,Active,Layer Paint Name,C,22,Army Painter triad via conversion match: Violet Coven
citadel_layer_deepkin_flesh,Citadel,Deepkin Flesh,Layer,Brown,Desaturated Cool Greens,#D2D4C7,Active,Layer Paint Name,C,23,Army Painter triad via conversion match: Mossy green
citadel_layer_doombull_brown,Citadel,Doombull Brown,Layer,Brown,Ruddy Browns,#5D000A,Active,Layer Paint Name,C,24,Army Painter triad via conversion match: Dryad Brown
citadel_layer_dorn_yellow,Citadel,Dorn Yellow,Layer,Yellow,Yellows,#E3D28C,Active,Layer Paint Name,C,25,Army Painter triad via conversion match: Ice Yellow
citadel_layer_elysian_green,Citadel,Elysian Green,Layer,Green,Vibrant Greens,#758E3A,Active,Layer Paint Name,C,26,Army Painter triad via conversion match: Vivid Volt
citadel_layer_emperor_s_children,Citadel,Emperor's Children,Layer,Pink,Pinks,#B94278,Active,Layer Paint Name,C,27,Army Painter triad via conversion match: Pixie Pink
citadel_layer_eshin_grey,Citadel,Eshin Grey,Layer,Black and Grey,,#4A4F53,Active,Layer Paint Name,C,28,
citadel_layer_evil_sunz_scarlet,Citadel,Evil Sunz Scarlet,Layer,Red,Cool Reds,#C21920,Active,Layer Paint Name,C,29,Army Painter triad via conversion match: Pure Red
citadel_layer_fenrisian_grey,Citadel,Fenrisian Grey,Layer,Black and Grey,Desaturated Blue-Greys,#709CB7,Active,Layer Paint Name,C,30,Army Painter triad via conversion match: Runic Cobalt
citadel_layer_fire_dragon_bright,Citadel,Fire Dragon Bright,Layer,Orange,Oranges,#F58651,Active,Layer Paint Name,C,31,Army Painter triad via conversion match: Lava Orange
citadel_layer_flash_gitz_yellow,Citadel,Flash Gitz Yellow,Layer,Yellow,Yellows,#FFF200,Active,Layer Paint Name,C,32,Army Painter triad via conversion match: Daemonic Yellow
citadel_layer_flayed_one_flesh,Citadel,Flayed One Flesh,Layer,Brown,Deep Skin Tones,#CBB48B,Active,Layer Paint Name,C,33,Army Painter triad via conversion match: Dorado Skin
citadel_layer_fulgrim_pink,Citadel,Fulgrim Pink,Layer,Pink,Desaturated Violets,#F4AFCC,Active,Layer Paint Name,D,3,Army Painter triad via conversion match: Figgy Pink
citadel_layer_fulgurite_copper,Citadel,Fulgurite Copper,Layer,Copper,,#BA8F6D,Active,Layer Paint Name,D,4,
citadel_layer_gauss_blaster_green,Citadel,Gauss Blaster Green,Layer,Green,Deep Greens,#84C2A9,Active,Layer Paint Name,D,5,Army Painter triad via conversion match: Ferocious Green
citadel_layer_gehenna_s_gold,Citadel,Gehenna's Gold,Layer,Gold,Metals - Brass,#D49761,Active,Layer Paint Name,D,6,Army Painter triad via conversion match: True Brass
citadel_layer_genestealer_purple,Citadel,Genestealer Purple,Layer,Purple,Purples,#7761AA,Active,Layer Paint Name,D,7,Army Painter triad via conversion match: Cultist Purple
citadel_layer_gorthor_brown,Citadel,Gorthor Brown,Layer,Brown,Deep Skin Tones,#654641,Active,Layer Paint Name,D,8,Army Painter triad via conversion match: Onyx Skin
citadel_layer_hashut_copper,Citadel,Hashut Copper,Layer,Copper,,#C69169,Active,Layer Paint Name,D,9,
citadel_layer_hoeth_blue,Citadel,Hoeth Blue,Layer,Blue,Deep Green-Blues,#4C7FB4,Active,Layer Paint Name,D,10,Army Painter triad via conversion match: Aegis Aqua
citadel_layer_ironbreaker,Citadel,Ironbreaker,Layer,Silver,,#94999D,Active,Layer Paint Name,D,11,
citadel_layer_kabalite_green,Citadel,Kabalite Green,Layer,Blue-Green,Teals,#028D66,Active,Layer Paint Name,D,12,Army Painter triad via conversion match: Pharaoh Guard
citadel_layer_kakophoni_purple,Citadel,Kakophoni Purple,Layer,Purple,Magentas,,Active,Layer Paint Name,D,13,Army Painter triad via conversion match: Spellbound Fuchsia
citadel_layer_karak_stone,Citadel,Karak Stone,Layer,Brown,Light Neutrals,#BB9662,Active,Layer Paint Name,D,14,Army Painter triad via conversion match: Tomb King Tan
citadel_layer_kislev_flesh,Citadel,Kislev Flesh,Layer,Brown,Deep Skin Tones,#D6A876,Active,Layer Paint Name,D,15,Army Painter triad via conversion match: Amber Skin
citadel_layer_knight_questor_flesh,Citadel,Knight-Questor Flesh,Layer,Brown,Browns,,Active,Layer Paint Name,D,16,Army Painter triad via conversion match: Command Khaki
citadel_layer_krieg_khaki,Citadel,Krieg Khaki,Layer,Brown,Olive Greens,#B7AD78,Active,Layer Paint Name,D,17,Army Painter triad via conversion match: Grotesque Green
citadel_layer_liberator_gold,Citadel,Liberator Gold,Layer,Gold,Metals - Brass,#D5C4AA,Active,Layer Paint Name,D,18,Army Painter triad via conversion match: Tainted Gold
citadel_layer_loren_forest,Citadel,Loren Forest,Layer,Green,Olive Greens,#51702D,Active,Layer Paint Name,D,19,Army Painter triad via conversion match: Army Green
citadel_layer_lothern_blue,Citadel,Lothern Blue,Layer,Blue,Deep Green-Blues,#33A2CF,Active,Layer Paint Name,D,20,Army Painter triad via conversion match: Phalanx Blue
citadel_layer_lugganath_orange,Citadel,Lugganath Orange,Layer,Orange,Warm Reds,#F89E86,Active,Layer Paint Name,D,21,Army Painter triad via conversion match: Violent Vermillion
