paint_id,brand,paint_name,paint_type,color_family,hex,status,source_group,source_column,source_row,notes
citadel_contrast_sigvald_burgundy,Citadel,Sigvald Burgundy,Contrast,Red,,Active,Contrast Paint Name,G,21,
citadel_contrast_skeleton_horde,Citadel,Skeleton Horde,Contrast,Brown,,Active,Contrast Paint Name,G,22,
citadel_contrast_snakebite_leather,Citadel,Snakebite Leather,Contrast,Brown,,Active,Contrast Paint Name,G,23,
citadel_contrast_space_wolves_grey,Citadel,Space Wolves Grey,Contrast,Black and Grey,,Active,Contrast Paint Name,G,24,
citadel_contrast_stormfiend,Citadel,Stormfiend,Contrast,Blue,,Active,Contrast Paint Name,G,25,
citadel_contrast_striking_scorpion_green,Citadel,Striking Scorpion Green,Contrast,Green,,Active,Contrast Paint Name,G,26,
citadel_contrast_talassar_blue,Citadel,Talassar Blue,Contrast,Blue,,Active,Contrast Paint Name,G,27,
citadel_contrast_terradon_turquoise,Citadel,Terradon Turquoise,Contrast,Blue-Green,,Active,Contrast Paint Name,G,28,
citadel_contrast_ultramarines_blue,Citadel,Ultramarines Blue,Contrast,Blue,,Active,Contrast Paint Name,G,29,
citadel_contrast_volupus_pink,Citadel,Volupus Pink,Contrast,Pink,,Active,Contrast Paint Name,G,30,
citadel_contrast_warp_lightning,Citadel,Warp Lightning,Contrast,Green,,Active,Contrast Paint Name,G,31,
citadel_contrast_wyldwood,Citadel,Wyldwood,Contrast,Brown,,Active,Contrast Paint Name,G,32,
citadel_dry_astorath_red,Citadel,Astorath Red,Dry,Red,#962F28,Active,Dry Paints Name,J,3,
citadel_dry_changeling_pink,Citadel,Changeling Pink,Dry,Pink,#F4AFCE,Active,Dry Paints Name,J,4,
citadel_dry_chronus_blue,Citadel,Chronus Blue,Dry,Blue,#6E97CF,Active,Dry Paints Name,J,5,
citadel_dry_dawnstone,Citadel,Dawnstone,Dry,Black and Grey,#70756E,Active,Dry Paints Name,J,6,
citadel_dry_eldar_flesh,Citadel,Eldar Flesh,Dry,Brown,#EDC184,Active,Dry Paints Name,J,7,
citadel_dry_etherium_blue,Citadel,Etherium Blue,Dry,Blue,#A1B9D1,Active,Dry Paints Name,J,8,
citadel_dry_golden_griffon,Citadel,Golden Griffon,Dry,Gold,#C6B791,Active,Dry Paints Name,J,9,
citadel_dry_golgfag_brown,Citadel,Golgfag Brown,Dry,Brown,#8B5435,Active,Dry Paints Name,J,10,
citadel_dry_hellion_green,Citadel,Hellion Green,Dry,Green,#83C3A9,Active,Dry Paints Name,J,11,
citadel_dry_hexos_palesun,Citadel,Hexos Palesun,Dry,Yellow,#F1DCA3,Active,Dry Paints Name,J,12,
citadel_dry_hoeth_blue,Citadel,Hoeth Blue,Dry,Blue,#4C7FB4,Active,Dry Paints Name,J,13,
citadel_dry_imrik_blue,Citadel,Imrik Blue,Dry,Blue,#4F8DBE,Active,Dry Paints Name,J,14,
citadel_dry_kindleflame,Citadel,Kindleflame,Dry,Orange,#EFB494,Active,Dry Paints Name,J,15,
citadel_dry_longbeard_grey,Citadel,Longbeard Grey,Dry,Black and Grey,#B4AEAE,Active,Dry Paints Name,J,16,
citadel_dry_lucius_lilac,Citadel,Lucius Lilac,Dry,Purple,#B69FCB,Active,Dry Paints Name,J,17,
citadel_dry_necron_compound,Citadel,Necron Compound,Dry,Silver,#B1B5B8,Active,Dry Paints Name,J,18,
citadel_dry_niblet_green,Citadel,Niblet Green,Dry,Green,#648B32,Active,Dry Paints Name,J,19,
citadel_dry_nurgling_green,Citadel,Nurgling Green,Dry,Green,#849B63,Active,Dry Paints Name,J,20,
citadel_dry_praxeti_white,Citadel,Praxeti White,Dry,White,#FFFFFF,Active,Dry Paints Name,J,21,
citadel_dry_ryza_rust,Citadel,Ryza Rust,Dry,Orange,#CE6426,Active,Dry Paints Name,J,22,
citadel_dry_sigmarite,Citadel,Sigmarite,Dry,Brass,#DAC38D,Active,Dry Paints Name,J,23,
citadel_dry_skink_blue,Citadel,Skink Blue,Dry,Blue,#59C1CE,Active,Dry Paints Name,J,24,
citadel_dry_slaanesh_grey,Citadel,Slaanesh Grey,Dry,Black and Grey,#8E8C97,Active,Dry Paints Name,J,25,
citadel_dry_stormfang,Citadel,Stormfang,Dry,Blue,#7188AA,Active,Dry Paints Name,J,26,
citadel_dry_sylvaneth_bark,Citadel,Sylvaneth Bark,Dry,Brown,#5A5140,Active,Dry Paints Name,J,27,
citadel_dry_terminatus_stone,Citadel,Terminatus Stone,Dry,Black and Grey,#BDAA9B,Active,Dry Paints Name,J,28,
citadel_dry_thunderhawk_blue,Citadel,Thunderhawk Blue,Dry,Blue-Green,#417175,Active,Dry Paints Name,J,29,
citadel_dry_tyrant_skull,Citadel,Tyrant Skull,Dry,Brown,#C6AF8B,Active,Dry Paints Name,J,30,
citadel_dry_underhive_ash,Citadel,Underhive Ash,Dry,Brown,#BFBD80,Active,Dry Paints Name,J,31,
citadel_dry_verminlord_hide,Citadel,Verminlord Hide,Dry,Brown,#773A37,Active,Dry Paints Name,J,32,
citadel_dry_wrack_white,Citadel,Wrack White,Dry,White,#DEDAD9,Active,Dry Paints Name,J,33,
citadel_layer_administratum_grey,Citadel,Administratum Grey,Layer,Black and Grey,#949B94,Active,Layer Paint Name,C,3,
citadel_layer_ahriman_blue,Citadel,Ahriman Blue,Layer,Blue,#00A5B9,Active,Layer Paint Name,C,4,
citadel_layer_alaitoc_blue,Citadel,Alaitoc Blue,Layer,Blue,#295788,Active,Layer Paint Name,C,5,
citadel_layer_altdorf_guard_blue,Citadel,Altdorf Guard Blue,Layer,Blue,#1F56A8,Active,Layer Paint Name,C,6,
citadel_layer_auric_armour_gold,Citadel,Auric Armour Gold,Layer,Gold,#E9C278,Active,Layer Paint Name,C,7,
citadel_layer_baharroth_blue,Citadel,Baharroth Blue,Layer,Blue,#78C4C7,Active,Layer Paint Name,C,8,
citadel_layer_balor_brown,Citadel,Balor Brown,Layer,Brown,#8B5910,Active,Layer Paint Name,C,9,
citadel_layer_baneblade_brown,Citadel,Baneblade Brown,Layer,Brown,#927F6E,Active,Layer Paint Name,C,10,
citadel_layer_bestigor_flesh,Citadel,Bestigor Flesh,Layer,Brown,#D28B57,Active,Layer Paint Name,C,11,
citadel_layer_bloodreaver_flesh,Citadel,Bloodreaver Flesh,Layer,Brown,,Active,Layer Paint Name,C,12,
citadel_layer_blue_horror,Citadel,Blue Horror,Layer,Blue,#A2BAD2,Active,Layer Paint Name,C,13,
citadel_layer_brass_scorpion,Citadel,Brass Scorpion,Layer,Brass,#B7895F,Active,Layer Paint Name,C,14,
citadel_layer_cadian_fleshtone,Citadel,Cadian Fleshtone,Layer,Brown,#C87958,Active,Layer Paint Name,C,15,
citadel_layer_calgar_blue,Citadel,Calgar Blue,Layer,Blue,#4273B8,Active,Layer Paint Name,C,16,
citadel_layer_canoptek_alloy,Citadel,Canoptek Alloy,Layer,Silver,,Active,Layer Paint Name,C,17,
citadel_layer_castellax_bronze,Citadel,Castellax Bronze,Layer,Bronze,,Active,Layer Paint Name,C,18,
citadel_layer_dark_reaper,Citadel,Dark Reaper,Layer,Purple,#3C5051,Active,Layer Paint Name,C,19,
citadel_layer_dawnstone,Citadel,Dawnstone,Layer,Black and Grey,#70756E,Active,Layer Paint Name,C,20,
citadel_layer_deathclaw_brown,Citadel,Deathclaw Brown,Layer,Brown,#B36853,Active,Layer Paint Name,C,21,
citadel_layer_dechala_lilac,Citadel,Dechala Lilac,Layer,Purple,#B59ECC,Active,Layer Paint Name,C,22,
citadel_layer_deepkin_flesh,Citadel,Deepkin Flesh,Layer,Brown,#D2D4C7,Active,Layer Paint Name,C,23,
citadel_layer_doombull_brown,Citadel,Doombull Brown,Layer,Brown,#5D000A,Active,Layer Paint Name,C,24,
citadel_layer_dorn_yellow,Citadel,Dorn Yellow,Layer,Yellow,#E3D28C,Active,Layer Paint Name,C,25,
citadel_layer_elysian_green,Citadel,Elysian Green,Layer,Green,#758E3A,Active,Layer Paint Name,C,26,
citadel_layer_emperor_s_children,Citadel,Emperor's Children,Layer,Pink,#B94278,Active,Layer Paint Name,C,27,
citadel_layer_eshin_grey,Citadel,Eshin Grey,Layer,Black and Grey,#4A4F53,Active,Layer Paint Name,C,28,
citadel_layer_evil_sunz_scarlet,Citadel,Evil Sunz Scarlet,Layer,Red,#C21920,Active,Layer Paint Name,C,29,
citadel_layer_fenrisian_grey,Citadel,Fenrisian Grey,Layer,Black and Grey,#709CB7,Active,Layer Paint Name,C,30,
citadel_layer_fire_dragon_bright,Citadel,Fire Dragon Bright,Layer,Orange,#F58651,Active,Layer Paint Name,C,31,
citadel_layer_flash_gitz_yellow,Citadel,Flash Gitz Yellow,Layer,Yellow,#FFF200,Active,Layer Paint Name,C,32,
citadel_layer_flayed_one_flesh,Citadel,Flayed One Flesh,Layer,Brown,#CBB48B,Active,Layer Paint Name,C,33,
citadel_layer_fulgrim_pink,Citadel,Fulgrim Pink,Layer,Pink,#F4AFCC,Active,Layer Paint Name,D,3,
citadel_layer_fulgurite_copper,Citadel,Fulgurite Copper,Layer,Copper,#BA8F6D,Active,Layer Paint Name,D,4,
citadel_layer_gauss_blaster_green,Citadel,Gauss Blaster Green,Layer,Green,#84C2A9,Active,Layer Paint Name,D,5,
citadel_layer_gehenna_s_gold,Citadel,Gehenna's Gold,Layer,Gold,#D49761,Active,Layer Paint Name,D,6,
citadel_layer_genestealer_purple,Citadel,Genestealer Purple,Layer,Purple,#7761AA,Active,Layer Paint Name,D,7,
citadel_layer_gorthor_brown,Citadel,Gorthor Brown,Layer,Brown,#654641,Active,Layer Paint Name,D,8,
citadel_layer_hashut_copper,Citadel,Hashut Copper,Layer,Copper,#C69169,Active,Layer Paint Name,D,9,
citadel_layer_hoeth_blue,Citadel,Hoeth Blue,Layer,Blue,#4C7FB4,Active,Layer Paint Name,D,10,
citadel_layer_ironbreaker,Citadel,Ironbreaker,Layer,Silver,#94999D,Active,Layer Paint Name,D,11,
citadel_layer_kabalite_green,Citadel,Kabalite Green,Layer,Blue-Green,#028D66,Active,Layer Paint Name,D,12,
citadel_layer_kakophoni_purple,Citadel,Kakophoni Purple,Layer,Purple,,Active,Layer Paint Name,D,13,
citadel_layer_karak_stone,Citadel,Karak Stone,Layer,Brown,#BB9662,Active,Layer Paint Name,D,14,
citadel_layer_kislev_flesh,Citadel,Kislev Flesh,Layer,Brown,#D6A876,Active,Layer Paint Name,D,15,
citadel_layer_knight_questor_flesh,Citadel,Knight-Questor Flesh,Layer,Brown,,Active,Layer Paint Name,D,16,
citadel_layer_krieg_khaki,Citadel,Krieg Khaki,Layer,Brown,#B7AD78,Active,Layer Paint Name,D,17,
citadel_layer_liberator_gold,Citadel,Liberator Gold,Layer,Gold,#D5C4AA,Active,Layer Paint Name,D,18,
citadel_layer_loren_forest,Citadel,Loren Forest,Layer,Green,#51702D,Active,Layer Paint Name,D,19,
citadel_layer_lothern_blue,Citadel,Lothern Blue,Layer,Blue,#33A2CF,Active,Layer Paint Name,D,20,
citadel_layer_lugganath_orange,Citadel,Lugganath Orange,Layer,Orange,#F89E86,Active,Layer Paint Name,D,21,
citadel_layer_moot_green,Citadel,Moot Green,Layer,Green,#52B246,Active,Layer Paint Name,D,22,
citadel_layer_nurgling_green,Citadel,Nurgling Green,Layer,Green,#849B63,Active,Layer Paint Name,D,23,
citadel_layer_ogryn_camo,Citadel,Ogryn Camo,Layer,Green,#9EA94B,Active,Layer Paint Name,D,24,
citadel_layer_pallid_wych_flesh,Citadel,Pallid Wych Flesh,Layer,Brown,#CDCEBE,Active,Layer Paint Name,D,25,
citadel_layer_phalanx_yellow,Citadel,Phalanx Yellow,Layer,Yellow,,Active,Layer Paint Name,D,26,
citadel_layer_pink_horror,Citadel,Pink Horror,Layer,Pink,#91305D,Active,Layer Paint Name,D,27,
citadel_layer_runefang_steel,Citadel,Runefang Steel,Layer,Silver,#C6CBD0,Active,Layer Paint Name,D,28,
citadel_layer_russ_grey,Citadel,Russ Grey,Layer,Black and Grey,#547588,Active,Layer Paint Name,D,29,
citadel_layer_screaming_skull,Citadel,Screaming Skull,Layer,Brown,#D4D3A3,Active,Layer Paint Name,D,30,
citadel_layer_skarsnik_green,Citadel,Skarsnik Green,Layer,Green,#5F936F,Active,Layer Paint Name,D,31,
citadel_layer_skavenblight_dinge,Citadel,Skavenblight Dinge,Layer,Black and Grey,#48413B,Active,Layer Paint Name,D,32,
citadel_layer_skrag_brown,Citadel,Skrag Brown,Layer,Brown,#904A0F,Active,Layer Paint Name,D,33,
citadel_layer_skullcrusher_brass,Citadel,Skullcrusher Brass,Layer,Brass,#E9C58B,Active,Layer Paint Name,E,3,
citadel_layer_slaanesh_grey,Citadel,Slaanesh Grey,Layer,Black and Grey,#8E8C97,Active,Layer Paint Name,E,4,
citadel_layer_sons_of_horus_green,Citadel,Sons of Horus Green,Layer,Green,,Active,Layer Paint Name,E,5,
citadel_layer_sotek_green,Citadel,Sotek Green,Layer,Blue-Green,#0C6A74,Active,Layer Paint Name,E,6,
citadel_layer_squig_orange,Citadel,Squig Orange,Layer,Orange,#A94F44,Active,Layer Paint Name,E,7,
citadel_layer_stormhost_silver,Citadel,Stormhost Silver,Layer,Silver,#D1D2D4,Active,Layer Paint Name,E,8,
citadel_layer_stormvermin_fur,Citadel,Stormvermin Fur,Layer,Brown,#736C66,Active,Layer Paint Name,E,9,
citadel_layer_straken_green,Citadel,Straken Green,Layer,Green,#628026,Active,Layer Paint Name,E,10,
citadel_layer_sybarite_green,Citadel,Sybarite Green,Layer,Green,#30A66C,Active,Layer Paint Name,E,11,
citadel_layer_sycorax_bronze,Citadel,Sycorax Bronze,Layer,Bronze,#CBB394,Active,Layer Paint Name,E,12,
citadel_layer_tallarn_sand,Citadel,Tallarn Sand,Layer,Brown,#A67610,Active,Layer Paint Name,E,13,
citadel_layer_tau_light_ochre,Citadel,Tau Light Ochre,Layer,Brown,#BF6E1D,Active,Layer Paint Name,E,14,
citadel_layer_teclis_blue,Citadel,Teclis Blue,Layer,Blue,#317FC1,Active,Layer Paint Name,E,15,
citadel_layer_temple_guard_blue,Citadel,Temple Guard Blue,Layer,Blue-Green,#329B8D,Active,Layer Paint Name,E,16,
citadel_layer_thunderhawk_blue,Citadel,Thunderhawk Blue,Layer,Blue-Green,#417175,Active,Layer Paint Name,E,17,
citadel_layer_troll_slayer_orange,Citadel,Troll Slayer Orange,Layer,Orange,#F46C2E,Active,Layer Paint Name,E,18,
citadel_layer_tuskgor_fur,Citadel,Tuskgor Fur,Layer,Brown,#883736,Active,Layer Paint Name,E,19,
citadel_layer_ulthuan_grey,Citadel,Ulthuan Grey,Layer,Black and Grey,#C7E0DA,Active,Layer Paint Name,E,20,
citadel_layer_ungor_flesh,Citadel,Ungor Flesh,Layer,Brown,#D7A767,Active,Layer Paint Name,E,21,
citadel_layer_ushabti_bone,Citadel,Ushabti Bone,Layer,Brown,#BCBC80,Active,Layer Paint Name,E,22,
citadel_layer_vulkan_green,Citadel,Vulkan Green,Layer,Green,,Active,Layer Paint Name,E,23,
citadel_layer_warboss_green,Citadel,Warboss Green,Layer,Blue-Green,#3E7F5D,Active,Layer Paint Name,E,24,
citadel_layer_warpfiend_grey,Citadel,Warpfiend Grey,Layer,Black and Grey,#6C6A75,Active,Layer Paint Name,E,25,
citadel_layer_warpstone_glow,Citadel,Warpstone Glow,Layer,Green,#1E7332,Active,Layer Paint Name,E,26,
citadel_layer_wazdakka_red,Citadel,Wazdakka Red,Layer,Red,#8C0A0C,Active,Layer Paint Name,E,27,
citadel_layer_white_scar,Citadel,White Scar,Layer,White,#FFFFFF,Active,Layer Paint Name,E,28,
citadel_layer_wild_rider_red,Citadel,Wild Rider Red,Layer,Red,#EB2E28,Active,Layer Paint Name,E,29,
citadel_layer_word_bearers_red,Citadel,Word Bearers Red,Layer,Red,,Active,Layer Paint Name,E,30,
